Machine Name,Agilent 1260 Infinity II GPC,P35,,,P40,,,P45,
,"2 x PLgel 5 ?m MIXED-C columns (polystyrene-divinylbenzene (PS/DVB), as well as a PLgel 5 ?m guard column at 35 °C and a flow rate of 1.0 mL.min-1 with THF containing 2.0% v/v triethylamine and 0.05% w/v BHT inhibitor as solvent.",logM,dwdlogM,,logM,dwdlogM,,logM,dwdlogM
,,6.33,0,,5.86,0,,6.55,0
,,6.32,0,,5.85,0,,6.55,0
,,6.32,0,,5.85,0,,6.55,0
,,6.32,0,,5.84,0,,6.54,0
,,6.31,0,,5.84,0,,6.54,0
,,6.31,0,,5.84,0,,6.53,0
,,6.3,0,,5.83,0,,6.53,0
,,6.3,0,,5.83,0,,6.53,0
,,6.3,0,,5.82,0,,6.52,0
,,6.29,0,,5.82,0,,6.52,0
,,6.29,0,,5.82,0,,6.51,0
,,6.28,0,,5.81,0,,6.51,0
,,6.28,0,,5.81,0,,6.51,0
,,6.28,0,,5.8,0,,6.5,0
,,6.27,0,,5.8,0,,6.5,0
,,6.27,0,,5.8,0,,6.49,0
,,6.26,0,,5.79,0,,6.49,0
,,6.26,0,,5.79,0,,6.49,0
,,6.26,0,,5.78,0,,6.48,0
,,6.25,0,,5.78,0,,6.48,0
,,6.25,0,,5.78,0,,6.47,0
,,6.24,0,,5.77,0,,6.47,0
,,6.24,0,,5.77,0,,6.47,0
,,6.24,0,,5.77,0,,6.46,0
,,6.23,0,,5.76,0,,6.46,0
,,6.23,0,,5.76,0,,6.45,0
,,6.22,0,,5.75,0,,6.45,0
,,6.22,0,,5.75,0,,6.45,0
,,6.22,0,,5.75,0,,6.44,0
,,6.21,0,,5.74,0,,6.44,0
,,6.21,0,,5.74,0,,6.43,0
,,6.21,0,,5.73,0,,6.43,0
,,6.2,0,,5.73,0,,6.43,0
,,6.2,0,,5.73,0,,6.42,0
,,6.19,0,,5.72,0,,6.42,0
,,6.19,0,,5.72,0,,6.42,0
,,6.19,0,,5.71,0,,6.41,0
,,6.18,0,,5.71,0,,6.41,0
,,6.18,0,,5.71,0,,6.4,0
,,6.17,0,,5.7,0,,6.4,0
,,6.17,0,,5.7,0,,6.4,0
,,6.17,0,,5.69,0,,6.39,0
,,6.16,0,,5.69,0,,6.39,0
,,6.16,0,,5.69,0,,6.38,0
,,6.15,0,,5.68,0,,6.38,0
,,6.15,0,,5.68,0,,6.38,0
,,6.15,0,,5.67,0,,6.37,0
,,6.14,0,,5.67,0,,6.37,0
,,6.14,0,,5.67,0,,6.36,0
,,6.13,0,,5.66,0,,6.36,0
,,6.13,0,,5.66,0,,6.36,0
,,6.13,0,,5.65,0,,6.35,0
,,6.12,0,,5.65,0,,6.35,0
,,6.12,0,,5.65,0,,6.34,0
,,6.11,0,,5.64,0,,6.34,0
,,6.11,0,,5.64,0,,6.34,0
,,6.11,0,,5.63,0,,6.33,0
,,6.1,0,,5.63,0,,6.33,0
,,6.1,0,,5.63,0,,6.32,0
,,6.09,0,,5.62,0,,6.32,0
,,6.09,0,,5.62,0,,6.32,0
,,6.09,0,,5.61,0,,6.31,0
,,6.08,0,,5.61,0,,6.31,0
,,6.08,0,,5.61,0,,6.3,0
,,6.07,0,,5.6,0,,6.3,0
,,6.07,0,,5.6,0,,6.3,0
,,6.07,0,,5.59,0,,6.29,0
,,6.06,0,,5.59,0,,6.29,0
,,6.06,0,,5.59,0,,6.28,0
,,6.05,0,,5.58,0,,6.28,0
,,6.05,0,,5.58,0,,6.28,0
,,6.05,0,,5.57,0,,6.27,0
,,6.04,0,,5.57,0,,6.27,0
,,6.04,0,,5.57,0,,6.26,0
,,6.03,0,,5.56,0,,6.26,0
,,6.03,0,,5.56,0,,6.26,0
,,6.03,0,,5.56,0,,6.25,0
,,6.02,0,,5.55,0,,6.25,0
,,6.02,0,,5.55,0,,6.24,0
,,6.01,0,,5.54,0,,6.24,0
,,6.01,0,,5.54,0,,6.24,0
,,6.01,0,,5.54,0,,6.23,0
,,6,0,,5.53,0,,6.23,0
,,6,0,,5.53,0,,6.22,0
,,6,0,,5.52,0,,6.22,0
,,5.99,0,,5.52,0,,6.22,0
,,5.99,0,,5.52,0,,6.21,0
,,5.98,0,,5.51,0,,6.21,0
,,5.98,0,,5.51,0,,6.21,0
,,5.98,0,,5.5,0.01,,6.2,0
,,5.97,0,,5.5,0.01,,6.2,0
,,5.97,0,,5.5,0.01,,6.19,0
,,5.96,0,,5.49,0.01,,6.19,0
,,5.96,0,,5.49,0.01,,6.19,0
,,5.96,0,,5.48,0.01,,6.18,0
,,5.95,0,,5.48,0.01,,6.18,0
,,5.95,0,,5.48,0.01,,6.17,0
,,5.94,0,,5.47,0.01,,6.17,0
,,5.94,0,,5.47,0.01,,6.17,0
,,5.94,0,,5.46,0.01,,6.16,0
,,5.93,0,,5.46,0.01,,6.16,0
,,5.93,0,,5.46,0.01,,6.15,0
,,5.92,0,,5.45,0.01,,6.15,0
,,5.92,0,,5.45,0.01,,6.15,0
,,5.92,0,,5.44,0.01,,6.14,0
,,5.91,0,,5.44,0.01,,6.14,0
,,5.91,0,,5.44,0.01,,6.13,0
,,5.9,0,,5.43,0.01,,6.13,0
,,5.9,0,,5.43,0.01,,6.13,0
,,5.9,0,,5.42,0.01,,6.12,0
,,5.89,0,,5.42,0.01,,6.12,0
,,5.89,0,,5.42,0.01,,6.11,0
,,5.88,0,,5.41,0.01,,6.11,0
,,5.88,0,,5.41,0.01,,6.11,0
,,5.88,0,,5.4,0.01,,6.1,0
,,5.87,0,,5.4,0.01,,6.1,0
,,5.87,0,,5.4,0.01,,6.09,0
,,5.86,0,,5.39,0.01,,6.09,0
,,5.86,0,,5.39,0.01,,6.09,0
,,5.86,0,,5.38,0.01,,6.08,0
,,5.85,0,,5.38,0.01,,6.08,0
,,5.85,0,,5.38,0.02,,6.07,0
,,5.84,0,,5.37,0.02,,6.07,0
,,5.84,0,,5.37,0.02,,6.07,0
,,5.84,0,,5.36,0.02,,6.06,0
,,5.83,0,,5.36,0.02,,6.06,0
,,5.83,0,,5.36,0.02,,6.05,0
,,5.82,0,,5.35,0.02,,6.05,0
,,5.82,0,,5.35,0.02,,6.05,0
,,5.82,0,,5.34,0.02,,6.04,0
,,5.81,0,,5.34,0.02,,6.04,0
,,5.81,0,,5.34,0.02,,6.03,0
,,5.8,0,,5.33,0.02,,6.03,0
,,5.8,0,,5.33,0.02,,6.03,0
,,5.8,0,,5.33,0.03,,6.02,0
,,5.79,0,,5.32,0.03,,6.02,0
,,5.79,0,,5.32,0.03,,6.01,0
