Machine Name,Bruker Avance III HD 600 MHz,,P40 - C NMR,
,5 mm PABBO BB Probe used with CDCL3 as solvent. 4096 scans carried out. ,,Chemical Shift / ppm,Intensity 
,,,0,2020.01
,,,0,837.66
,,,0.01,105.94
,,,0.01,215.76
,,,0.01,1004.59
,,,0.01,1816.09
,,,0.01,2114.07
,,,0.01,1876.85
,,,0.02,1589.11
,,,0.02,1934.74
,,,0.02,2962.71
,,,0.02,3896.04
,,,0.02,4207.07
,,,0.03,4034.11
,,,0.03,3495.03
,,,0.03,2591.89
,,,0.03,1626.48
,,,0.03,1020.74
,,,0.03,793.9
,,,0.04,534.84
,,,0.04,-65.81
,,,0.04,-839.46
,,,0.04,-1254.32
,,,0.04,-875.46
,,,0.05,75.27
,,,0.05,945.46
,,,0.05,1516.95
,,,0.05,1886.61
,,,0.05,1923.41
,,,0.05,1778.09
,,,0.06,1993.67
,,,0.06,2493.79
,,,0.06,2609.62
,,,0.06,2149.43
,,,0.06,1432.99
,,,0.07,678.96
,,,0.07,-7.63
,,,0.07,-535.99
,,,0.07,-910.8
,,,0.07,-1137
,,,0.07,-1123.7
,,,0.08,-802.59
,,,0.08,-404.27
,,,0.08,-447.44
,,,0.08,-1215.33
,,,0.08,-2571.75
,,,0.09,-4158.63
,,,0.09,-5350.2
,,,0.09,-5701.33
,,,0.09,-5482.62
,,,0.09,-5091.98
,,,0.09,-4605.7
,,,0.1,-4084.83
,,,0.1,-3706.98
,,,0.1,-3822.66
,,,0.1,-4436.69
,,,0.1,-4678.12
,,,0.11,-4034.54
,,,0.11,-3153.04
,,,0.11,-2554.78
,,,0.11,-2097.83
,,,0.11,-1658.98
,,,0.11,-1411.54
,,,0.12,-1727.18
,,,0.12,-2548.09
,,,0.12,-3168.5
,,,0.12,-3246.64
,,,0.12,-3064.12
,,,0.13,-2812.98
,,,0.13,-2501.53
,,,0.13,-2063.66
,,,0.13,-1411.5
,,,0.13,-646.84
,,,0.13,5.44
,,,0.14,332.4
,,,0.14,328.29
,,,0.14,345.57
,,,0.14,531.35
,,,0.14,464.86
,,,0.15,-160.61
,,,0.15,-1043.92
,,,0.15,-1732.86
,,,0.15,-2215.03
,,,0.15,-2772.86
,,,0.15,-3441.68
,,,0.16,-4038.6
,,,0.16,-4580.24
,,,0.16,-5322.1
,,,0.16,-6326.2
,,,0.16,-7148.14
,,,0.17,-7376.9
,,,0.17,-7206.82
,,,0.17,-6984.71
,,,0.17,-6815.34
,,,0.17,-6703.97
,,,0.17,-6522.36
