Machine Name,TA Discovery DSC25 ,,P35,,,P40,,,P45,
,Nitrogen flow (at a rate of 50 mL.min−1) with a heating/cooling rate of 10 °C min−1 at temperatures between −90 °C and 190 °C,,Temperature / °C,Heat Flow (Normalized) / W/g,,Temperature / °C,Heat Flow (Normalized) / W/g,,Temperature / °C,Heat Flow (Normalized) / W/g
,,,-90.40,0.07,,-90.41,0.06,,-90.41,0.04
,,,-90.40,0.07,,-90.40,0.06,,-90.40,0.04
,,,-90.39,0.07,,-90.40,0.06,,-90.40,0.04
,,,-90.39,0.07,,-90.40,0.06,,-90.40,0.04
,,,-90.39,0.07,,-90.40,0.06,,-90.40,0.04
,,,-90.39,0.07,,-90.40,0.06,,-90.40,0.04
,,,-90.39,0.07,,-90.40,0.06,,-90.40,0.04
,,,-90.39,0.07,,-90.40,0.06,,-90.40,0.04
,,,-90.39,0.07,,-90.40,0.06,,-90.40,0.04
,,,-90.39,0.07,,-90.39,0.06,,-90.39,0.04
,,,-90.38,0.07,,-90.39,0.06,,-90.39,0.04
,,,-90.38,0.07,,-90.39,0.06,,-90.39,0.04
,,,-90.38,0.07,,-90.39,0.06,,-90.39,0.04
,,,-90.38,0.07,,-90.39,0.06,,-90.39,0.04
,,,-90.38,0.07,,-90.39,0.06,,-90.39,0.04
,,,-90.38,0.07,,-90.39,0.06,,-90.39,0.04
,,,-90.38,0.07,,-90.39,0.06,,-90.39,0.04
,,,-90.38,0.07,,-90.38,0.06,,-90.38,0.04
,,,-90.38,0.07,,-90.38,0.06,,-90.38,0.04
,,,-90.38,0.07,,-90.38,0.06,,-90.38,0.04
,,,-90.38,0.07,,-90.38,0.06,,-90.38,0.04
,,,-90.37,0.07,,-90.38,0.06,,-90.38,0.04
,,,-90.38,0.07,,-90.38,0.06,,-90.38,0.04
,,,-90.37,0.07,,-90.38,0.06,,-90.38,0.04
,,,-90.37,0.07,,-90.38,0.06,,-90.38,0.04
,,,-90.37,0.07,,-90.38,0.06,,-90.38,0.04
,,,-90.37,0.07,,-90.38,0.06,,-90.38,0.04
,,,-90.37,0.07,,-90.38,0.06,,-90.38,0.04
,,,-90.37,0.07,,-90.38,0.06,,-90.38,0.04
,,,-90.37,0.07,,-90.38,0.06,,-90.38,0.04
,,,-90.37,0.07,,-90.38,0.06,,-90.38,0.04
,,,-90.37,0.07,,-90.38,0.06,,-90.38,0.04
,,,-90.37,0.07,,-90.38,0.06,,-90.38,0.04
,,,-90.37,0.07,,-90.37,0.06,,-90.37,0.04
,,,-90.37,0.07,,-90.37,0.06,,-90.37,0.04
,,,-90.37,0.07,,-90.37,0.06,,-90.37,0.04
,,,-90.36,0.07,,-90.37,0.06,,-90.37,0.04
,,,-90.36,0.07,,-90.37,0.06,,-90.37,0.04
,,,-90.36,0.07,,-90.37,0.06,,-90.37,0.04
,,,-90.36,0.07,,-90.37,0.06,,-90.37,0.04
,,,-90.36,0.07,,-90.37,0.06,,-90.37,0.04
,,,-90.36,0.07,,-90.37,0.06,,-90.37,0.04
,,,-90.36,0.07,,-90.37,0.06,,-90.37,0.04
,,,-90.36,0.07,,-90.36,0.06,,-90.36,0.04
,,,-90.36,0.07,,-90.36,0.06,,-90.36,0.04
,,,-90.35,0.07,,-90.36,0.06,,-90.36,0.04
,,,-90.35,0.07,,-90.36,0.06,,-90.36,0.04
,,,-90.35,0.07,,-90.36,0.06,,-90.36,0.04
,,,-90.35,0.07,,-90.36,0.06,,-90.36,0.04
,,,-90.35,0.07,,-90.35,0.06,,-90.35,0.04
,,,-90.34,0.07,,-90.35,0.06,,-90.35,0.04
,,,-90.34,0.07,,-90.35,0.06,,-90.35,0.04
,,,-90.34,0.07,,-90.35,0.06,,-90.35,0.04
,,,-90.33,0.07,,-90.34,0.06,,-90.34,0.04
,,,-90.33,0.07,,-90.34,0.06,,-90.34,0.04
,,,-90.33,0.07,,-90.34,0.06,,-90.34,0.04
,,,-90.32,0.07,,-90.33,0.06,,-90.33,0.04
,,,-90.32,0.07,,-90.33,0.06,,-90.33,0.04
,,,-90.32,0.07,,-90.33,0.06,,-90.33,0.04
,,,-90.31,0.07,,-90.32,0.06,,-90.32,0.04
,,,-90.31,0.07,,-90.32,0.06,,-90.32,0.04
,,,-90.30,0.07,,-90.31,0.06,,-90.31,0.04
,,,-90.30,0.07,,-90.31,0.06,,-90.31,0.04
,,,-90.29,0.07,,-90.30,0.06,,-90.30,0.04
,,,-90.29,0.07,,-90.30,0.06,,-90.30,0.04
,,,-90.28,0.07,,-90.29,0.06,,-90.29,0.05
,,,-90.28,0.07,,-90.29,0.06,,-90.29,0.05
,,,-90.27,0.07,,-90.28,0.07,,-90.28,0.05
,,,-90.26,0.07,,-90.27,0.07,,-90.27,0.05
,,,-90.26,0.07,,-90.27,0.07,,-90.27,0.05
,,,-90.25,0.08,,-90.26,0.07,,-90.26,0.05
,,,-90.24,0.08,,-90.25,0.07,,-90.25,0.05
,,,-90.24,0.08,,-90.25,0.07,,-90.25,0.05
,,,-90.23,0.08,,-90.24,0.07,,-90.24,0.05
,,,-90.22,0.08,,-90.23,0.07,,-90.23,0.05
,,,-90.21,0.08,,-90.22,0.08,,-90.22,0.05
,,,-90.21,0.09,,-90.22,0.08,,-90.22,0.05
,,,-90.20,0.09,,-90.21,0.08,,-90.21,0.06
,,,-90.19,0.09,,-90.20,0.08,,-90.20,0.06
,,,-90.18,0.09,,-90.19,0.08,,-90.19,0.06
,,,-90.17,0.09,,-90.18,0.08,,-90.18,0.06
,,,-90.16,0.09,,-90.17,0.08,,-90.17,0.06
,,,-90.15,0.09,,-90.16,0.08,,-90.16,0.06
,,,-90.14,0.10,,-90.15,0.09,,-90.15,0.06
,,,-90.13,0.10,,-90.14,0.09,,-90.14,0.06
,,,-90.12,0.10,,-90.13,0.09,,-90.13,0.06
,,,-90.11,0.10,,-90.13,0.09,,-90.13,0.06
,,,-90.10,0.10,,-90.11,0.09,,-90.11,0.06
,,,-90.09,0.10,,-90.10,0.09,,-90.10,0.07
,,,-90.08,0.11,,-90.09,0.09,,-90.09,0.07
,,,-90.07,0.11,,-90.08,0.09,,-90.08,0.07
,,,-90.06,0.11,,-90.07,0.10,,-90.07,0.07
,,,-90.05,0.11,,-90.06,0.10,,-90.06,0.07
,,,-90.04,0.11,,-90.05,0.10,,-90.05,0.07
,,,-90.03,0.11,,-90.04,0.10,,-90.04,0.07
,,,-90.02,0.12,,-90.03,0.10,,-90.03,0.07
,,,-90.01,0.12,,-90.01,0.10,,-90.01,0.08
,,,-89.99,0.12,,-90.00,0.11,,-90.00,0.08
,,,-89.98,0.12,,-89.99,0.11,,-89.99,0.08
,,,-89.97,0.12,,-89.98,0.11,,-89.98,0.08
,,,-89.96,0.13,,-89.97,0.11,,-89.97,0.08
,,,-89.95,0.13,,-89.96,0.11,,-89.96,0.08
,,,-89.93,0.13,,-89.95,0.11,,-89.95,0.08
,,,-89.92,0.13,,-89.93,0.12,,-89.93,0.08
,,,-89.91,0.13,,-89.92,0.12,,-89.92,0.09
,,,-89.90,0.14,,-89.91,0.12,,-89.91,0.09
,,,-89.89,0.14,,-89.90,0.12,,-89.90,0.09
,,,-89.87,0.14,,-89.88,0.12,,-89.88,0.09
,,,-89.86,0.14,,-89.87,0.12,,-89.87,0.09
,,,-89.85,0.14,,-89.86,0.13,,-89.86,0.09
,,,-89.84,0.14,,-89.85,0.13,,-89.85,0.09
,,,-89.82,0.15,,-89.83,0.13,,-89.83,0.09
,,,-89.81,0.15,,-89.82,0.13,,-89.82,0.10
,,,-89.80,0.15,,-89.81,0.13,,-89.81,0.10
,,,-89.79,0.15,,-89.79,0.13,,-89.79,0.10
,,,-89.77,0.15,,-89.78,0.13,,-89.78,0.10
,,,-89.76,0.15,,-89.77,0.14,,-89.77,0.10
,,,-89.75,0.16,,-89.76,0.14,,-89.76,0.10
,,,-89.73,0.16,,-89.74,0.14,,-89.74,0.10
,,,-89.72,0.16,,-89.73,0.14,,-89.73,0.10
,,,-89.71,0.16,,-89.72,0.14,,-89.72,0.10
,,,-89.69,0.16,,-89.71,0.14,,-89.71,0.11
,,,-89.68,0.16,,-89.69,0.14,,-89.69,0.11
,,,-89.67,0.16,,-89.68,0.15,,-89.68,0.11
,,,-89.66,0.17,,-89.67,0.15,,-89.67,0.11
,,,-89.64,0.17,,-89.65,0.15,,-89.65,0.11
,,,-89.63,0.17,,-89.64,0.15,,-89.64,0.11
,,,-89.62,0.17,,-89.63,0.15,,-89.63,0.11
,,,-89.60,0.17,,-89.61,0.15,,-89.61,0.11
,,,-89.59,0.17,,-89.60,0.15,,-89.60,0.11
,,,-89.58,0.17,,-89.59,0.15,,-89.59,0.12
,,,-89.56,0.17,,-89.57,0.16,,-89.57,0.12
,,,-89.55,0.18,,-89.56,0.16,,-89.56,0.12
,,,-89.54,0.18,,-89.55,0.16,,-89.55,0.12
,,,-89.52,0.18,,-89.53,0.16,,-89.53,0.12
,,,-89.51,0.18,,-89.52,0.16,,-89.52,0.12
,,,-89.50,0.18,,-89.51,0.16,,-89.51,0.12
,,,-89.48,0.18,,-89.49,0.16,,-89.49,0.12
,,,-89.47,0.18,,-89.48,0.16,,-89.48,0.12
,,,-89.46,0.18,,-89.47,0.16,,-89.47,0.12
,,,-89.44,0.18,,-89.45,0.17,,-89.45,0.13
,,,-89.43,0.19,,-89.44,0.17,,-89.44,0.13
,,,-89.42,0.19,,-89.43,0.17,,-89.43,0.13
,,,-89.40,0.19,,-89.41,0.17,,-89.41,0.13
,,,-89.39,0.19,,-89.40,0.17,,-89.40,0.13
,,,-89.38,0.19,,-89.39,0.17,,-89.39,0.13
,,,-89.36,0.19,,-89.37,0.17,,-89.37,0.13
,,,-89.35,0.19,,-89.36,0.17,,-89.36,0.13
,,,-89.33,0.19,,-89.35,0.17,,-89.35,0.13
,,,-89.32,0.19,,-89.33,0.17,,-89.33,0.13
,,,-89.31,0.19,,-89.32,0.17,,-89.32,0.13
,,,-89.29,0.19,,-89.30,0.18,,-89.30,0.14
,,,-89.28,0.20,,-89.29,0.18,,-89.29,0.14
,,,-89.27,0.20,,-89.28,0.18,,-89.28,0.14
,,,-89.25,0.20,,-89.26,0.18,,-89.26,0.14
,,,-89.24,0.20,,-89.25,0.18,,-89.25,0.14
,,,-89.22,0.20,,-89.23,0.18,,-89.23,0.14
,,,-89.21,0.20,,-89.22,0.18,,-89.22,0.14
