Machine Name,Lloyd LRX ,P35 Undamaged,1,,,2,,,3,,,4,,,P35 1 hr healing,1,,,2,,,3,,,P35 3 hr healing,1,,,2,,,3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,,-0.9,0,,-7.1,-0.01,,-3.42,0,,-2.53,0,,,-2.38,0,,-2.6,-0.01,,-0.93,0,,,-1.57,0,,-1.91,0,,-8.51,0
,Representative curve shown in the figure is the first set of data for each sample,,-0.9,0,,-7.1,-0.01,,-3.42,0,,-2.53,0,,,-2.38,0,,-2.6,-0.01,,-0.93,0,,,-1.57,0,,-1.91,0,,-8.51,0
,,,-0.9,0,,-7.1,-0.01,,-3.42,0,,-2.53,0,,,-2.38,0,,-2.6,-0.01,,-0.93,0,,,-1.57,0,,-1.91,0,,-8.51,0
,,,0.36,0,,-7.1,-0.01,,-3.42,0,,-2.53,0,,,-2.38,0,,-2.6,-0.01,,-0.93,0,,,-1.57,0,,-1.9,0,,-8.51,0
,,,2.94,0.03,,-7.08,-0.01,,-2.98,0.01,,-1.93,0.01,,,-2.38,0,,-2.6,-0.01,,-0.93,0,,,-1.57,0,,-1.9,0,,-8.51,0
,,,6.23,0.04,,-4.87,0,,-0.17,0.02,,0.89,0.03,,,-2.38,0,,-2.6,-0.01,,-0.93,0,,,-1.57,0,,-1.1,0.01,,-8.51,0
,,,9.62,0.06,,-2.44,0.01,,2.64,0.04,,3.78,0.06,,,-2.38,0,,-2.6,-0.01,,-0.93,0,,,-1.57,0,,0.28,0.02,,-8.51,0
,,,12.93,0.07,,0.01,0.02,,5.47,0.05,,6.65,0.07,,,-2.38,0,,-2.6,-0.01,,-0.93,0,,,-1.57,0,,1.68,0.03,,-8.51,0
,,,16.22,0.07,,2.39,0.03,,8.29,0.06,,9.51,0.09,,,-2.38,0,,-2.6,-0.01,,-0.9,0,,,-1.56,0,,3.07,0.04,,-8.25,0
