HSP,Healing_Time,Replica_Set,Max_Stress_UTS,Strain_at_UTS,UTS_Original_Mean,Strain_Original_Mean,HE_Elongation_Mean,HE_UTS_Mean,Peak_logM,Molecular_Weight,Contact_Angle_Mean,Contact_Angle_Std,FTIR_H-Bond_Value,DSC_Tg_Value
0.35,0.0,1,0.27,1799.37,0.2725,1507.0475000000001,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635,93.57,-89.96
0.35,0.0,2,0.15,1327.7,0.2725,1507.0475000000001,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635,93.57,-89.96
0.35,0.0,3,0.26,1482.93,0.2725,1507.0475000000001,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635,93.57,-89.96
0.35,0.0,4,0.41,1418.19,0.2725,1507.0475000000001,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635,93.57,-89.96
0.35,1.0,1,0.24,1061.98,0.2725,1507.0475000000001,34.2,92.9,4.45,28183.82931264455,70.624,39.14259930050635,93.57,-89.96
0.35,1.0,2,0.21,925.62,0.2725,1507.0475000000001,34.2,92.9,4.45,28183.82931264455,70.624,39.14259930050635,93.57,-89.96
0.35,1.0,3,0.3,715.91,0.2725,1507.0475000000001,34.2,92.9,4.45,28183.82931264455,70.624,39.14259930050635,93.57,-89.96
0.35,3.0,1,0.26,1108.14,0.2725,1507.0475000000001,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635,93.57,-89.96
0.35,3.0,2,0.16,116.37,0.2725,1507.0475000000001,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635,93.57,-89.96
0.35,3.0,3,0.14,887.86,0.2725,1507.0475000000001,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635,93.57,-89.96
0.4,0.0,1,0.42,1361.9,0.3675,973.9175,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595,142.33,-89.86
0.4,0.0,2,0.37,812.97,0.3675,973.9175,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595,142.33,-89.86
0.4,0.0,3,0.33,251.33,0.3675,973.9175,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595,142.33,-89.86
0.4,0.0,4,0.35,1469.47,0.3675,973.9175,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595,142.33,-89.86
0.4,0.33,1,0.38,793.93,0.3675,973.9175,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595,142.33,-89.86
0.4,0.33,2,0.39,1140.68,0.3675,973.9175,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595,142.33,-89.86
0.4,0.33,3,0.39,1155.23,0.3675,973.9175,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595,142.33,-89.86
0.4,1.0,1,0.42,1015.95,0.3675,973.9175,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595,142.33,-89.86
0.4,1.0,2,0.33,1009.5,0.3675,973.9175,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595,142.33,-89.86
0.4,1.0,3,0.39,1083.53,0.3675,973.9175,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595,142.33,-89.86
0.4,1.0,4,0.36,1478.59,0.3675,973.9175,77.3,102.9,4.53,33884.415613920275,73.612,40.911683783486595,142.33,-89.86
0.4,3.0,1,0.47,1318.14,0.3675,973.9175,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595,142.33,-89.86
0.4,3.0,2,0.39,1225.31,0.3675,973.9175,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595,142.33,-89.86
0.4,3.0,3,0.39,1132.06,0.3675,973.9175,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595,142.33,-89.86
0.4,3.0,4,0.33,1087.15,0.3675,973.9175,90.7,107.9,4.53,33884.415613920275,73.612,40.911683783486595,142.33,-89.86
0.45,0.0,1,0.63,1354.94,0.54,1219.5133333333333,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454,197.06,-89.82
0.45,0.0,2,0.55,993.78,0.54,1219.5133333333333,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454,197.06,-89.82
0.45,0.0,3,0.44,1309.82,0.54,1219.5133333333333,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454,197.06,-89.82
0.45,1.0,1,0.55,818.64,0.54,1219.5133333333333,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454,197.06,-89.82
0.45,1.0,2,0.28,1041.02,0.54,1219.5133333333333,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454,197.06,-89.82
0.45,1.0,3,0.34,656.58,0.54,1219.5133333333333,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454,197.06,-89.82
0.45,3.0,1,0.42,806.61,0.54,1219.5133333333333,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454,197.06,-89.82
0.45,3.0,2,0.29,818.31,0.54,1219.5133333333333,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454,197.06,-89.82
0.45,3.0,3,0.45,838.06,0.54,1219.5133333333333,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454,197.06,-89.82
0.45,3.0,4,0.34,566.0,0.54,1219.5133333333333,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454,197.06,-89.82
