Machine Name,Keysight 34470A ,Strain / %,ΔR/R0
,Resistance measured with 0.1s interval time,0.15,0.00
,,0.78,0.01
,,1.31,0.02
,,2.12,0.03
,,2.85,0.04
,,3.52,0.05
,,4.07,0.06
,,4.68,0.07
,,5.28,0.08
,,5.98,0.09
,,6.70,0.10
,,7.32,0.11
,,7.95,0.12
,,8.58,0.13
,,9.20,0.14
,,9.89,0.15
,,10.63,0.16
,,11.28,0.18
,,11.91,0.19
,,12.53,0.21
,,13.15,0.22
,,13.91,0.22
,,14.65,0.23
,,15.28,0.25
,,15.90,0.26
,,16.53,0.27
,,17.22,0.29
,,17.89,0.30
,,18.56,0.31
,,19.21,0.33
,,19.86,0.34
,,20.51,0.35
,,21.15,0.36
,,21.81,0.37
,,22.53,0.39
,,23.21,0.40
,,23.85,0.41
,,24.48,0.43
,,25.12,0.44
,,25.78,0.46
,,26.49,0.47
,,27.17,0.48
,,27.82,0.49
,,28.47,0.51
,,29.12,0.51
,,29.77,0.53
,,30.51,0.54
,,31.16,0.55
,,31.81,0.56
,,32.46,0.57
,,33.11,0.59
,,33.76,0.60
,,34.45,0.62
,,35.13,0.63
,,35.79,0.64
,,36.46,0.65
,,37.14,0.67
,,37.83,0.68
,,38.53,0.69
,,39.22,0.71
,,39.86,0.72
,,40.51,0.73
,,41.15,0.74
,,41.80,0.76
,,42.44,0.76
,,43.07,0.78
,,43.71,0.79
,,44.35,0.80
,,44.99,0.81
,,45.65,0.83
,,46.37,0.84
,,47.05,0.85
,,47.70,0.86
,,48.35,0.87
,,49.03,0.90
,,49.73,0.90
,,50.39,0.89
,,50.97,0.92
,,51.59,0.92
,,52.25,0.94
,,52.92,0.95
,,53.61,0.94
,,54.30,0.96
,,54.94,0.97
,,55.58,0.99
,,56.22,1.00
,,56.86,1.02
,,57.52,1.04
,,58.19,1.04
,,58.89,1.06
,,59.52,1.08
,,60.14,1.08
,,60.77,1.11
,,61.44,1.09
,,62.20,1.11
,,62.84,1.14
,,63.48,1.16
,,64.12,1.14
,,64.76,1.17
,,65.41,1.18
,,66.22,1.16
,,66.85,1.17
,,67.49,1.18
,,68.13,1.18
,,68.77,1.20
,,69.44,1.21
,,70.20,1.21
,,70.85,1.27
,,71.48,1.22
,,72.10,1.25
,,72.72,1.24
,,73.37,1.27
,,74.19,1.28
,,74.89,1.16
,,75.49,1.18
,,76.05,1.22
,,76.68,1.24
,,77.35,1.26
,,78.09,1.31
,,78.73,1.35
,,79.34,1.35
,,79.95,1.24
,,80.55,1.30
,,81.32,1.29
,,82.15,1.33
,,82.77,1.23
,,83.39,1.47
,,84.02,1.46
,,84.64,1.43
,,85.36,1.52
,,86.03,1.47
,,86.64,1.58
,,87.26,1.44
,,87.87,1.59
,,88.55,1.65
,,89.30,1.73
,,90.10,1.83
,,90.76,1.91
,,91.39,1.86
,,92.02,1.92
,,92.66,2.04
,,93.28,1.94
,,93.93,2.04
,,94.58,2.10
,,95.21,2.10
,,95.85,2.13
,,96.49,2.15
,,97.19,2.08
,,97.90,2.08
,,98.56,1.99
,,99.21,2.17
,,99.86,2.15
,,100.52,2.36
,,101.19,2.34
,,101.92,2.30
,,102.59,2.32
,,103.25,2.66
,,103.92,2.58
,,104.60,2.77
,,105.28,2.82
,,105.94,2.57
,,106.58,2.60
,,107.22,2.77
,,107.85,2.81
,,108.49,2.75
,,109.13,3.06
,,109.78,3.10
,,110.42,3.25
,,111.06,3.23
,,111.71,3.17
,,112.37,3.27
,,113.13,3.46
,,113.89,3.32
,,114.54,3.31
,,115.18,3.22
,,115.82,3.39
,,116.46,3.44
,,117.13,3.61
,,117.82,3.59
,,118.48,3.48
,,119.14,3.51
,,119.79,3.83
,,120.44,4.09
,,121.09,3.94
,,121.73,4.08
,,122.37,4.13
,,123.01,4.24
,,123.65,4.29
,,124.29,4.36
,,124.97,4.23
,,125.74,4.50
,,126.43,4.62
,,127.06,4.51
,,127.69,4.75
,,128.32,4.76
,,129.06,4.93
,,129.76,4.93
,,130.39,5.11
,,131.02,5.14
,,131.61,5.00
,,132.21,5.35
,,132.97,5.58
,,133.71,5.54
,,134.32,5.60
,,134.94,5.72
,,135.51,5.81
,,136.13,6.04
,,136.84,6.18
,,137.64,6.28
,,138.26,6.40
,,138.89,6.44
,,139.52,6.51
,,140.14,6.51
,,140.81,6.61
,,141.48,6.71
,,142.11,6.91
,,142.75,6.92
,,143.40,7.05
,,144.10,7.09
,,144.81,7.23
,,145.52,7.32
,,146.23,7.31
,,146.86,7.52
,,147.50,7.53
,,148.13,7.66
,,148.82,7.78
,,149.54,7.85
,,150.15,7.89
,,150.77,7.90
,,151.37,8.07
,,152.00,7.99
,,152.74,8.07
,,153.37,8.12
,,154.05,8.30
,,154.70,8.43
,,155.36,8.47
,,156.02,8.58
,,156.75,8.73
,,157.49,8.86
,,158.11,9.07
,,158.73,9.18
,,159.35,9.30
,,160.02,9.30
,,160.68,9.31
,,161.32,9.48
,,161.96,9.48
,,162.60,9.54
,,163.24,9.59
,,163.88,9.78
,,164.65,9.89
,,165.37,9.97
,,166.03,10.09
,,166.69,10.15
,,167.36,10.14
,,168.05,10.36
,,168.75,10.30
,,169.38,10.44
,,169.99,10.30
,,170.61,10.53
,,171.24,10.47
,,171.87,10.59
,,172.55,10.66
,,173.23,10.70
,,173.90,10.85
,,174.56,10.91
,,175.22,11.02
,,175.88,11.00
,,176.56,11.25
,,177.24,11.30
,,177.91,11.31
,,178.56,11.28
