Machine Name,Lloyd LRX ,,1,,,2,,,3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,,0,0.12,,0,0.17,,0,0.12
,Representative curve shown in the figure is the first set of data,,0.06,0.09,,0,0.17,,0.08,0.12
,,,0.22,0.04,,0,0.17,,0.25,0.12
,,,0.49,0,,0,0.17,,0.51,0.12
,,,0.88,0.37,,0,0.17,,0.86,0.13
,,,1.22,0.52,,0,0.17,,1.16,0.13
,,,1.52,0.54,,0,0.17,,1.45,0.14
,,,1.8,0.57,,0,0.17,,1.74,0.18
,,,2.07,0.6,,0,0.17,,2.03,0.22
,,,2.36,0.63,,0,0.17,,2.31,0.26
,,,2.66,0.65,,0,0.17,,2.6,0.29
,,,2.95,0.68,,0,0.17,,2.89,0.33
,,,3.25,0.71,,0,0.17,,3.18,0.37
,,,3.54,0.73,,0,0.18,,3.47,0.42
,,,3.82,0.76,,0,0.18,,3.75,0.47
,,,4.12,0.79,,0,0.18,,4.06,0.51
,,,4.43,0.82,,0,0.18,,4.37,0.56
,,,4.74,0.84,,0,0.18,,4.68,0.6
,,,5.06,0.87,,0,0.18,,4.99,0.65
,,,5.38,0.9,,0,0.18,,5.27,0.69
,,,5.68,0.93,,0,0.18,,5.56,0.74
,,,5.97,0.95,,0,0.18,,5.84,0.79
,,,6.26,0.98,,0,0.18,,6.12,0.83
,,,6.55,1.01,,0,0.18,,6.43,0.88
,,,6.86,1.04,,0,0.18,,6.74,0.92
,,,7.18,1.06,,0,0.18,,7.06,0.97
,,,7.5,1.09,,0,0.18,,7.36,1.01
,,,7.83,1.12,,0,0.19,,7.65,1.06
,,,8.13,1.15,,0,0.19,,7.94,1.1
,,,8.41,1.17,,0,0.19,,8.22,1.15
,,,8.69,1.2,,0,0.19,,8.5,1.2
,,,8.99,1.23,,0,0.19,,8.79,1.24
,,,9.31,1.26,,0,0.19,,9.1,1.29
,,,9.63,1.28,,0,0.19,,9.42,1.31
,,,9.95,1.31,,0.07,0.23,,9.72,1.31
,,,10.28,1.34,,0.31,0.36,,10.01,1.32
,,,10.59,1.37,,0.71,0.48,,10.29,1.33
,,,10.87,1.39,,1.1,0.48,,10.57,1.34
,,,11.15,1.42,,1.45,0.48,,10.86,1.35
,,,11.45,1.45,,1.78,0.47,,11.17,1.36
,,,11.76,1.47,,2.12,0.47,,11.48,1.37
,,,12.07,1.47,,2.45,0.49,,11.79,1.37
,,,12.39,1.48,,2.79,0.63,,12.1,1.38
,,,12.72,1.48,,3.12,0.76,,12.4,1.39
,,,13.03,1.48,,3.46,0.9,,12.69,1.4
,,,13.32,1.48,,3.79,0.97,,12.98,1.41
,,,13.6,1.49,,4.14,1.01,,13.27,1.42
,,,13.9,1.49,,4.5,1.05,,13.56,1.42
,,,14.21,1.49,,4.85,1.08,,13.85,1.43
,,,14.52,1.49,,5.21,1.12,,14.18,1.44
,,,14.83,1.5,,5.57,1.16,,14.5,1.45
,,,15.14,1.5,,5.91,1.2,,14.8,1.46
,,,15.45,1.5,,6.24,1.24,,15.08,1.47
,,,15.74,1.5,,6.58,1.28,,15.36,1.48
,,,16.03,1.51,,6.96,1.31,,15.64,1.48
,,,16.32,1.51,,7.33,1.35,,15.94,1.49
,,,16.64,1.51,,7.68,1.39,,16.25,1.5
,,,16.96,1.51,,8.03,1.43,,16.57,1.51
,,,17.27,1.52,,8.36,1.47,,16.89,1.52
,,,17.59,1.52,,8.68,1.51,,17.2,1.53
,,,17.88,1.52,,9.01,1.54,,17.47,1.54
,,,18.18,1.52,,9.4,1.58,,17.75,1.54
,,,18.47,1.53,,9.78,1.62,,18.03,1.55
,,,18.76,1.53,,10.13,1.66,,18.3,1.56
,,,19.08,1.53,,10.47,1.7,,18.62,1.57
,,,19.4,1.53,,10.8,1.73,,18.93,1.58
,,,19.72,1.54,,11.13,1.77,,19.25,1.59
,,,20.04,1.54,,11.48,1.81,,19.57,1.6
,,,20.33,1.54,,11.86,1.85,,19.86,1.6
,,,20.63,1.55,,12.23,1.89,,20.14,1.61
,,,20.93,1.55,,12.58,1.93,,20.42,1.62
,,,21.22,1.55,,12.92,1.96,,20.7,1.63
,,,21.52,1.55,,13.26,1.99,,21,1.64
,,,21.83,1.56,,13.6,2,,21.32,1.65
,,,22.15,1.56,,13.96,2.01,,21.63,1.66
,,,22.48,1.56,,14.32,2.02,,21.94,1.66
,,,22.78,1.56,,14.67,2.03,,22.25,1.67
,,,23.08,1.57,,15.03,2.04,,22.53,1.68
,,,23.38,1.57,,15.38,2.05,,22.8,1.69
,,,23.67,1.57,,15.7,2.06,,23.1,1.7
,,,23.97,1.57,,16.03,2.06,,23.4,1.71
,,,24.28,1.58,,16.4,2.07,,23.71,1.71
,,,24.6,1.58,,16.76,2.08,,24.01,1.72
,,,24.93,1.58,,17.13,2.09,,24.32,1.73
,,,25.23,1.58,,17.48,2.1,,24.63,1.74
,,,25.53,1.59,,17.81,2.11,,24.91,1.75
,,,25.82,1.59,,18.13,2.12,,25.19,1.76
,,,26.11,1.59,,18.46,2.13,,25.47,1.77
,,,26.42,1.59,,18.83,2.14,,25.78,1.77
,,,26.74,1.6,,19.2,2.15,,26.09,1.78
,,,27.06,1.6,,19.57,2.15,,26.39,1.79
,,,27.38,1.6,,19.92,2.16,,26.7,1.8
,,,27.69,1.6,,20.25,2.17,,27,1.81
,,,27.99,1.61,,20.57,2.18,,27.3,1.82
,,,28.28,1.61,,20.9,2.19,,27.58,1.83
,,,28.58,1.61,,21.27,2.2,,27.87,1.83
,,,28.89,1.62,,21.65,2.21,,28.15,1.84
,,,29.21,1.62,,22.03,2.22,,28.45,1.85
,,,29.53,1.62,,22.39,2.23,,28.75,1.86
,,,29.84,1.62,,22.7,2.24,,29.06,1.87
,,,30.16,1.63,,23.02,2.25,,29.37,1.88
,,,30.45,1.63,,23.37,2.25,,29.68,1.89
,,,30.74,1.63,,23.72,2.26,,29.95,1.89
,,,31.04,1.63,,24.09,2.27,,30.23,1.9
,,,31.33,1.64,,24.47,2.28,,30.51,1.91
,,,31.62,1.64,,24.84,2.29,,30.82,1.92
,,,31.93,1.64,,25.16,2.3,,31.12,1.93
,,,32.25,1.64,,25.49,2.31,,31.43,1.94
,,,32.56,1.65,,25.84,2.32,,31.74,1.95
,,,32.88,1.65,,26.2,2.33,,32.04,1.95
,,,33.18,1.65,,26.57,2.34,,32.33,1.96
,,,33.48,1.65,,26.93,2.34,,32.62,1.97
,,,33.78,1.66,,27.29,2.35,,32.91,1.98
,,,34.07,1.66,,27.61,2.36,,33.2,1.99
,,,34.38,1.66,,27.94,2.37,,33.49,2
,,,34.7,1.66,,28.28,2.38,,33.79,2
,,,35.03,1.67,,28.64,2.39,,34.09,2.01
,,,35.35,1.67,,29.01,2.4,,34.39,2.02
,,,35.66,1.67,,29.37,2.41,,34.69,2.03
,,,35.96,1.68,,29.73,2.42,,34.99,2.03
,,,36.27,1.68,,30.07,2.43,,35.29,2.03
,,,36.58,1.68,,30.41,2.43,,35.59,2.04
,,,36.88,1.68,,30.74,2.44,,35.89,2.04
,,,37.19,1.69,,31.09,2.45,,36.19,2.04
