Machine Name ,Perkin-Elmer Spectrum 100,,P35,,,P40,,,P45,
,Attenuated total reflectance mode in the region of 4000?650 cm?1. 16 scans were done with a resolution of 4 cm?1,,Wavenumber / cm-1,Transmittance ,,Wavenumber / cm-1,Transmittance ,,Wavenumber / cm-1,Transmittance 
,,,4000,99.27,,4000,149.31,,4000,205.12
,Notes: The transmittance for P40 and P45 has been shifted up for clarity in the figure. ,,3999,99.28,,3999,149.31,,3999,205.13
,,,3998,99.28,,3998,149.31,,3998,205.12
,,,3997,99.27,,3997,149.3,,3997,205.11
,,,3996,99.26,,3996,149.29,,3996,205.1
,,,3995,99.25,,3995,149.28,,3995,205.09
,,,3994,99.24,,3994,149.27,,3994,205.08
,,,3993,99.23,,3993,149.28,,3993,205.08
,,,3992,99.24,,3992,149.28,,3992,205.08
,,,3991,99.25,,3991,149.29,,3991,205.08
,,,3990,99.26,,3990,149.3,,3990,205.09
,,,3989,99.27,,3989,149.3,,3989,205.1
,,,3988,99.28,,3988,149.31,,3988,205.1
,,,3987,99.28,,3987,149.31,,3987,205.11
,,,3986,99.28,,3986,149.31,,3986,205.12
,,,3985,99.28,,3985,149.31,,3985,205.12
,,,3984,99.27,,3984,149.3,,3984,205.11
,,,3983,99.26,,3983,149.3,,3983,205.1
,,,3982,99.25,,3982,149.29,,3982,205.09
,,,3981,99.24,,3981,149.29,,3981,205.08
,,,3980,99.24,,3980,149.29,,3980,205.07
,,,3979,99.24,,3979,149.29,,3979,205.07
,,,3978,99.24,,3978,149.3,,3978,205.07
,,,3977,99.25,,3977,149.31,,3977,205.08
,,,3976,99.26,,3976,149.32,,3976,205.1
,,,3975,99.27,,3975,149.33,,3975,205.11
,,,3974,99.27,,3974,149.33,,3974,205.12
,,,3973,99.27,,3973,149.32,,3973,205.12
,,,3972,99.27,,3972,149.32,,3972,205.12
,,,3971,99.26,,3971,149.31,,3971,205.11
,,,3970,99.26,,3970,149.31,,3970,205.09
,,,3969,99.25,,3969,149.31,,3969,205.08
,,,3968,99.25,,3968,149.31,,3968,205.08
,,,3967,99.25,,3967,149.31,,3967,205.07
,,,3966,99.25,,3966,149.31,,3966,205.07
,,,3965,99.26,,3965,149.31,,3965,205.07
,,,3964,99.26,,3964,149.31,,3964,205.07
,,,3963,99.26,,3963,149.31,,3963,205.08
,,,3962,99.27,,3962,149.31,,3962,205.08
,,,3961,99.27,,3961,149.31,,3961,205.09
,,,3960,99.28,,3960,149.31,,3960,205.09
,,,3959,99.28,,3959,149.32,,3959,205.1
,,,3958,99.28,,3958,149.33,,3958,205.11
,,,3957,99.28,,3957,149.33,,3957,205.11
,,,3956,99.27,,3956,149.34,,3956,205.11
,,,3955,99.27,,3955,149.34,,3955,205.11
,,,3954,99.26,,3954,149.33,,3954,205.11
,,,3953,99.27,,3953,149.33,,3953,205.11
,,,3952,99.27,,3952,149.33,,3952,205.11
,,,3951,99.28,,3951,149.33,,3951,205.12
,,,3950,99.28,,3950,149.33,,3950,205.11
,,,3949,99.28,,3949,149.33,,3949,205.11
,,,3948,99.28,,3948,149.34,,3948,205.11
,,,3947,99.28,,3947,149.34,,3947,205.11
,,,3946,99.28,,3946,149.34,,3946,205.12
,,,3945,99.28,,3945,149.33,,3945,205.13
,,,3944,99.28,,3944,149.32,,3944,205.13
,,,3943,99.28,,3943,149.32,,3943,205.12
,,,3942,99.28,,3942,149.33,,3942,205.11
,,,3941,99.28,,3941,149.34,,3941,205.11
,,,3940,99.28,,3940,149.35,,3940,205.12
,,,3939,99.28,,3939,149.36,,3939,205.12
,,,3938,99.28,,3938,149.36,,3938,205.12
,,,3937,99.28,,3937,149.35,,3937,205.12
,,,3936,99.28,,3936,149.35,,3936,205.12
,,,3935,99.29,,3935,149.35,,3935,205.12
,,,3934,99.3,,3934,149.35,,3934,205.13
,,,3933,99.3,,3933,149.35,,3933,205.13
,,,3932,99.3,,3932,149.35,,3932,205.12
,,,3931,99.29,,3931,149.35,,3931,205.12
,,,3930,99.29,,3930,149.36,,3930,205.12
,,,3929,99.29,,3929,149.36,,3929,205.12
,,,3928,99.29,,3928,149.35,,3928,205.12
,,,3927,99.29,,3927,149.34,,3927,205.11
,,,3926,99.29,,3926,149.33,,3926,205.11
,,,3925,99.29,,3925,149.33,,3925,205.11
,,,3924,99.3,,3924,149.33,,3924,205.12
,,,3923,99.3,,3923,149.34,,3923,205.13
,,,3922,99.3,,3922,149.35,,3922,205.13
,,,3921,99.3,,3921,149.35,,3921,205.13
,,,3920,99.3,,3920,149.35,,3920,205.12
,,,3919,99.3,,3919,149.35,,3919,205.12
,,,3918,99.3,,3918,149.35,,3918,205.11
,,,3917,99.3,,3917,149.35,,3917,205.12
,,,3916,99.29,,3916,149.35,,3916,205.11
,,,3915,99.29,,3915,149.35,,3915,205.11
,,,3914,99.28,,3914,149.34,,3914,205.11
,,,3913,99.28,,3913,149.34,,3913,205.11
,,,3912,99.28,,3912,149.35,,3912,205.11
,,,3911,99.28,,3911,149.35,,3911,205.11
,,,3910,99.29,,3910,149.36,,3910,205.1
,,,3909,99.29,,3909,149.35,,3909,205.1
,,,3908,99.29,,3908,149.35,,3908,205.09
,,,3907,99.28,,3907,149.33,,3907,205.08
,,,3906,99.28,,3906,149.33,,3906,205.07
,,,3905,99.28,,3905,149.32,,3905,205.07
,,,3904,99.29,,3904,149.33,,3904,205.07
,,,3903,99.29,,3903,149.34,,3903,205.08
,,,3902,99.29,,3902,149.35,,3902,205.09
,,,3901,99.29,,3901,149.35,,3901,205.11
,,,3900,99.3,,3900,149.36,,3900,205.11
,,,3899,99.3,,3899,149.36,,3899,205.11
,,,3898,99.3,,3898,149.37,,3898,205.11
,,,3897,99.3,,3897,149.37,,3897,205.11
,,,3896,99.29,,3896,149.36,,3896,205.1
,,,3895,99.28,,3895,149.35,,3895,205.1
,,,3894,99.27,,3894,149.33,,3894,205.09
,,,3893,99.27,,3893,149.32,,3893,205.09
,,,3892,99.27,,3892,149.31,,3892,205.09
,,,3891,99.28,,3891,149.32,,3891,205.08
,,,3890,99.27,,3890,149.33,,3890,205.08
,,,3889,99.27,,3889,149.34,,3889,205.08
,,,3888,99.27,,3888,149.35,,3888,205.09
,,,3887,99.28,,3887,149.35,,3887,205.1
,,,3886,99.29,,3886,149.36,,3886,205.11
,,,3885,99.29,,3885,149.36,,3885,205.11
,,,3884,99.29,,3884,149.37,,3884,205.12
,,,3883,99.3,,3883,149.37,,3883,205.13
,,,3882,99.32,,3882,149.37,,3882,205.15
,,,3881,99.33,,3881,149.38,,3881,205.15
,,,3880,99.34,,3880,149.39,,3880,205.14
,,,3879,99.33,,3879,149.39,,3879,205.12
,,,3878,99.32,,3878,149.39,,3878,205.11
,,,3877,99.31,,3877,149.38,,3877,205.1
,,,3876,99.3,,3876,149.36,,3876,205.1
,,,3875,99.3,,3875,149.36,,3875,205.09
,,,3874,99.29,,3874,149.35,,3874,205.09
,,,3873,99.28,,3873,149.36,,3873,205.09
,,,3872,99.28,,3872,149.36,,3872,205.1
,,,3871,99.29,,3871,149.36,,3871,205.1
,,,3870,99.3,,3870,149.36,,3870,205.1
,,,3869,99.29,,3869,149.35,,3869,205.08
,,,3868,99.27,,3868,149.34,,3868,205.07
,,,3867,99.25,,3867,149.33,,3867,205.08
,,,3866,99.25,,3866,149.32,,3866,205.08
,,,3865,99.26,,3865,149.33,,3865,205.09
,,,3864,99.28,,3864,149.35,,3864,205.11
,,,3863,99.29,,3863,149.37,,3863,205.13
,,,3862,99.3,,3862,149.38,,3862,205.14
,,,3861,99.3,,3861,149.39,,3861,205.13
,,,3860,99.29,,3860,149.38,,3860,205.12
,,,3859,99.29,,3859,149.38,,3859,205.1
,,,3858,99.29,,3858,149.38,,3858,205.08
,,,3857,99.29,,3857,149.39,,3857,205.07
,,,3856,99.29,,3856,149.41,,3856,205.06
,,,3855,99.29,,3855,149.42,,3855,205.07
,,,3854,99.29,,3854,149.42,,3854,205.06
,,,3853,99.28,,3853,149.41,,3853,205.06
,,,3852,99.27,,3852,149.4,,3852,205.06
,,,3851,99.26,,3851,149.38,,3851,205.07
,,,3850,99.26,,3850,149.37,,3850,205.08
,,,3849,99.27,,3849,149.35,,3849,205.09
,,,3848,99.28,,3848,149.35,,3848,205.09
,,,3847,99.29,,3847,149.35,,3847,205.09
,,,3846,99.29,,3846,149.35,,3846,205.1
,,,3845,99.3,,3845,149.35,,3845,205.1
,,,3844,99.29,,3844,149.34,,3844,205.1
,,,3843,99.28,,3843,149.33,,3843,205.1
,,,3842,99.27,,3842,149.31,,3842,205.09
,,,3841,99.26,,3841,149.3,,3841,205.09
,,,3840,99.26,,3840,149.31,,3840,205.08
,,,3839,99.27,,3839,149.32,,3839,205.09
,,,3838,99.27,,3838,149.35,,3838,205.09
,,,3837,99.28,,3837,149.36,,3837,205.09
,,,3836,99.28,,3836,149.37,,3836,205.1
,,,3835,99.28,,3835,149.37,,3835,205.1
,,,3834,99.28,,3834,149.36,,3834,205.1
,,,3833,99.29,,3833,149.36,,3833,205.11
,,,3832,99.3,,3832,149.36,,3832,205.11
,,,3831,99.29,,3831,149.36,,3831,205.1
,,,3830,99.29,,3830,149.35,,3830,205.09
,,,3829,99.29,,3829,149.35,,3829,205.09
