Machine Name,Bruker Avance III HD 600 MHz,,P40 - H NMR,
,5 mm PABBO BB Probe used with CDCL3 as solvent. 64 scans carried out. ,,Chemical Shift / ppm,Intensity 
,,,0,395342.83
,,,0,251444.38
,,,0,163587.78
,,,0,108804
,,,0,77145.45
,,,0,58888.09
,,,0,47127.95
,,,0,39813.58
,,,0.01,36915.3
,,,0.01,38953.59
,,,0.01,43835.31
,,,0.01,41133.61
,,,0.01,30214.42
,,,0.01,22889.94
,,,0.01,18310.61
,,,0.01,14793.02
,,,0.01,11896.2
,,,0.01,10523.52
,,,0.01,8825.64
,,,0.01,7950.27
,,,0.01,7409.7
,,,0.01,6994.06
,,,0.01,6028.25
,,,0.01,5622.34
,,,0.02,4609.56
,,,0.02,4071.45
,,,0.02,4019.23
,,,0.02,3932.13
,,,0.02,3617.13
,,,0.02,3844.63
,,,0.02,3577.45
,,,0.02,3745.78
,,,0.02,2984.19
,,,0.02,2806.03
,,,0.02,2655.91
,,,0.02,2596.03
,,,0.02,2513.75
,,,0.02,2645.78
,,,0.02,2642.72
,,,0.02,2289.91
,,,0.03,1743.66
,,,0.03,1713.27
,,,0.03,1366.97
,,,0.03,927.48
,,,0.03,1586.73
,,,0.03,1716.64
,,,0.03,1780.44
,,,0.03,1425.08
,,,0.03,1398.78
,,,0.03,1269.11
,,,0.03,1171.86
,,,0.03,1221.72
,,,0.03,1625.22
,,,0.03,1248.38
,,,0.03,1204.66
,,,0.04,780.78
,,,0.04,717.44
,,,0.04,405.91
,,,0.04,349.3
,,,0.04,544.59
,,,0.04,772.34
,,,0.04,583.27
,,,0.04,664.56
,,,0.04,706.83
,,,0.04,522.81
,,,0.04,876.02
,,,0.04,684.88
,,,0.04,398.17
,,,0.04,457.97
,,,0.04,552.72
,,,0.04,967.48
,,,0.05,910.31
,,,0.05,655.19
,,,0.05,358.61
,,,0.05,-51.7
,,,0.05,62.78
,,,0.05,732.14
,,,0.05,901.98
,,,0.05,557.81
,,,0.05,772.81
,,,0.05,897.73
,,,0.05,771.19
,,,0.05,265.02
,,,0.05,-131.78
,,,0.05,-171.14
,,,0.05,362.33
,,,0.05,622.36
,,,0.06,391.09
,,,0.06,321.8
,,,0.06,435.44
,,,0.06,1070.78
,,,0.06,1325.58
,,,0.06,1684.88
,,,0.06,1718.17
,,,0.06,1817.16
,,,0.06,1050.33
,,,0.06,418.03
,,,0.06,382.23
,,,0.06,294.48
,,,0.06,-279.11
,,,0.06,-803.56
,,,0.06,-1558.36
,,,0.06,-1794.31
,,,0.07,-1377.95
,,,0.07,-634.36
,,,0.07,-537.78
,,,0.07,-159.5
,,,0.07,1280.09
,,,0.07,2285.66
,,,0.07,2686.36
,,,0.07,2451.56
,,,0.07,2008.13
,,,0.07,1410.78
,,,0.07,934.31
,,,0.07,820.7
,,,0.07,883.69
,,,0.07,496.28
,,,0.07,531.33
,,,0.07,-67.58
,,,0.08,-352.98
,,,0.08,-160.19
,,,0.08,-260.06
,,,0.08,-743.2
,,,0.08,-812.03
,,,0.08,-299.06
,,,0.08,-245.39
,,,0.08,-327.64
,,,0.08,-373.02
,,,0.08,-633.58
,,,0.08,-85.31
,,,0.08,-219.53
,,,0.08,-613.11
,,,0.08,-683.78
,,,0.08,-398.75
,,,0.08,18.19
,,,0.09,-478.97
,,,0.09,-322.61
,,,0.09,112.88
,,,0.09,-23.11
,,,0.09,-144.92
,,,0.09,-381.69
,,,0.09,-305.58
,,,0.09,-249.44
,,,0.09,-287.06
,,,0.09,-322.2
,,,0.09,-448.41
,,,0.09,-557.14
,,,0.09,-671.53
,,,0.09,-503.28
,,,0.09,-420.77
,,,0.09,-342.27
,,,0.1,-646.86
,,,0.1,-408.03
,,,0.1,-492.08
,,,0.1,-48.3
,,,0.1,127.69
,,,0.1,-163.92
,,,0.1,-341.19
,,,0.1,-576.36
,,,0.1,-435.92
,,,0.1,32.7
,,,0.1,191.98
,,,0.1,376.52
,,,0.1,279.55
,,,0.1,168.92
,,,0.1,292.2
,,,0.1,302.59
,,,0.11,299.78
,,,0.11,-260.39
,,,0.11,-175.42
,,,0.11,-332.94
,,,0.11,-665.7
,,,0.11,-777.75
,,,0.11,-593.38
,,,0.11,-115.56
,,,0.11,14.09
,,,0.11,-334.19
,,,0.11,-439.41
,,,0.11,-333.95
,,,0.11,-153.94
,,,0.11,-595.66
,,,0.11,-434.17
,,,0.11,-640.22
,,,0.12,-794.91
,,,0.12,-526.42
,,,0.12,-335.73
,,,0.12,-666.56
,,,0.12,-274.13
,,,0.12,121.5
,,,0.12,-154.03
,,,0.12,-479.03
,,,0.12,-512.83
,,,0.12,203.92
,,,0.12,598.14
,,,0.12,2.8
,,,0.12,-476.53
,,,0.12,-526.45
,,,0.12,-239.84
,,,0.12,140.31
,,,0.13,-136.11
,,,0.13,-264.53
,,,0.13,-341.63
,,,0.13,-0.53
,,,0.13,179.5
,,,0.13,-8.41
,,,0.13,5.38
,,,0.13,-441.53
,,,0.13,-808.2
,,,0.13,-921.8
,,,0.13,-377.69
,,,0.13,52.97
,,,0.13,-258.61
,,,0.13,-176.7
,,,0.13,-257.61
,,,0.13,-298.77
,,,0.14,-148.53
,,,0.14,-400
,,,0.14,-714.52
,,,0.14,-271.52
,,,0.14,266.77
,,,0.14,-44.8
,,,0.14,129.69
,,,0.14,482.2
,,,0.14,570.02
,,,0.14,795.58
,,,0.14,324.7
,,,0.14,921.56
,,,0.14,1263.41
,,,0.14,2180.73
,,,0.14,3495.53
,,,0.14,4307.78
,,,0.15,4230.23
,,,0.15,3270.88
,,,0.15,1864.58
,,,0.15,1016.56
,,,0.15,302.94
,,,0.15,31.92
,,,0.15,231.88
,,,0.15,217.53
,,,0.15,29.52
,,,0.15,48.27
,,,0.15,163.56
,,,0.15,441.56
,,,0.15,-362.25
,,,0.15,-574.28
,,,0.15,-559.73
,,,0.15,-356.94
,,,0.16,-137.75
,,,0.16,109.3
,,,0.16,179.91
,,,0.16,52.11
,,,0.16,-74.88
,,,0.16,-655.34
,,,0.16,-530.48
,,,0.16,-482.83
,,,0.16,-358.02
,,,0.16,68.27
,,,0.16,96.61
,,,0.16,212.88
,,,0.16,-92
,,,0.16,-888.77
,,,0.16,-396.03
,,,0.16,-612
,,,0.17,-732.31
,,,0.17,-932.7
,,,0.17,-838.63
,,,0.17,-1011.7
,,,0.17,-892.14
,,,0.17,-241.78
,,,0.17,-360.97
,,,0.17,-566.66
,,,0.17,-497.31
,,,0.17,-664.86
,,,0.17,-846.41
,,,0.17,-1059.66
,,,0.17,-554.61
,,,0.17,-693.86
,,,0.17,-632.88
,,,0.17,-549.83
,,,0.18,-219.77
,,,0.18,-212.7
,,,0.18,-300.55
,,,0.18,-327.94
,,,0.18,-414.83
,,,0.18,-711.27
,,,0.18,-605
,,,0.18,-782.55
,,,0.18,-598.86
,,,0.18,-833.64
,,,0.18,-985.69
,,,0.18,-415.23
,,,0.18,-52.94
,,,0.18,-70.5
,,,0.18,-3.8
,,,0.19,-488.55
,,,0.19,-642.78
,,,0.19,-624.11
,,,0.19,-425.94
,,,0.19,-719.03
,,,0.19,-265.59
,,,0.19,-438.02
,,,0.19,-298.81
,,,0.19,-318.45
,,,0.19,-545.38
,,,0.19,-184.86
,,,0.19,-130.89
,,,0.19,284.91
,,,0.19,223.84
,,,0.19,-163.8
,,,0.19,-223.16
,,,0.2,-466.13
,,,0.2,-775.8
,,,0.2,-507.45
,,,0.2,-516.75
,,,0.2,-510.09
,,,0.2,-348.7
,,,0.2,-135.83
,,,0.2,-273.25
,,,0.2,-453.63
,,,0.2,-871.92
,,,0.2,-1077.27
,,,0.2,-1109.06
,,,0.2,-501.16
,,,0.2,-393.56
,,,0.2,-624.17
,,,0.2,-463.78
,,,0.21,-436.63
,,,0.21,-66.38
,,,0.21,-164.59
,,,0.21,-100.2
,,,0.21,-222.34
,,,0.21,-456
,,,0.21,-548.7
,,,0.21,-184.06
,,,0.21,-217.73
,,,0.21,-59.73
,,,0.21,2.92
,,,0.21,272.92
,,,0.21,4.14
,,,0.21,-262.81
,,,0.21,-165.33
,,,0.21,-348.78
,,,0.22,-169.2
,,,0.22,-455.69
,,,0.22,-344.16
,,,0.22,-727.23
,,,0.22,-704.27
,,,0.22,-388.33
,,,0.22,-235.77
,,,0.22,-492.84
,,,0.22,-207.48
,,,0.22,500.13
,,,0.22,-174.66
,,,0.22,65.41
,,,0.22,-377.13
,,,0.22,-582.11
,,,0.22,-500.42
,,,0.22,-397.88
,,,0.23,-341.14
,,,0.23,-190.09
,,,0.23,-359.66
,,,0.23,-998.69
,,,0.23,-779.11
,,,0.23,-812.77
,,,0.23,-801.27
,,,0.23,-490.84
,,,0.23,-493.67
,,,0.23,-824.77
,,,0.23,-238.2
,,,0.23,-210.86
,,,0.23,-269.03
,,,0.23,-225
,,,0.23,-736.69
,,,0.23,-618.69
,,,0.24,-799.69
,,,0.24,-857.5
,,,0.24,-576.92
,,,0.24,-693.02
,,,0.24,-757.08
,,,0.24,-824.5
,,,0.24,-660.28
,,,0.24,-223.06
,,,0.24,-253.95
,,,0.24,-216.59
,,,0.24,-291.05
,,,0.24,87.7
,,,0.24,385.7
,,,0.24,112
,,,0.24,153.45
,,,0.24,-58.45
,,,0.25,-123.63
,,,0.25,-358.83
,,,0.25,-31.42
,,,0.25,117.75
,,,0.25,-71.17
,,,0.25,-144.13
,,,0.25,10.67
,,,0.25,318.25
,,,0.25,129.81
,,,0.25,91.3
,,,0.25,235.59
,,,0.25,414
,,,0.25,-111.56
,,,0.25,203.16
,,,0.25,256.17
,,,0.25,-239.84
,,,0.26,-472.5
,,,0.26,-150.23
,,,0.26,-269.06
,,,0.26,-229.61
,,,0.26,237.98
,,,0.26,77.64
,,,0.26,215.78
,,,0.26,-693.2
,,,0.26,-668.11
,,,0.26,-605.67
,,,0.26,-427.25
,,,0.26,-631.88
,,,0.26,-410.28
,,,0.26,-592.61
,,,0.26,-499.61
,,,0.26,-132.88
,,,0.27,-88.03
,,,0.27,343.91
,,,0.27,470.59
,,,0.27,256.66
,,,0.27,170.61
,,,0.27,10.3
,,,0.27,266.47
,,,0.27,383.58
,,,0.27,662.06
,,,0.27,114.61
,,,0.27,-79.81
,,,0.27,561.73
,,,0.27,892.66
,,,0.27,263.69
,,,0.27,-9.69
,,,0.27,241.2
,,,0.28,421.03
,,,0.28,499.11
,,,0.28,478.67
,,,0.28,231.22
,,,0.28,290.61
,,,0.28,420.63
,,,0.28,396.45
,,,0.28,792.77
,,,0.28,832.75
,,,0.28,496.34
,,,0.28,507.2
,,,0.28,489.19
,,,0.28,105.47
,,,0.28,194.31
,,,0.28,116.86
,,,0.28,411.61
,,,0.29,99.34
,,,0.29,340.06
,,,0.29,304.88
,,,0.29,408.27
,,,0.29,213.95
,,,0.29,-196.52
,,,0.29,-245.92
,,,0.29,-196.67
,,,0.29,71.16
,,,0.29,395.42
,,,0.29,614.2
,,,0.29,347.14
,,,0.29,559.33
,,,0.29,736
,,,0.29,474.41
,,,0.29,526.86
,,,0.3,651.8
,,,0.3,734.05
,,,0.3,822.14
,,,0.3,830.02
,,,0.3,806.08
,,,0.3,1071.56
,,,0.3,906.89
,,,0.3,803.69
,,,0.3,772.88
,,,0.3,799.14
,,,0.3,659.81
,,,0.3,496.02
,,,0.3,709.02
,,,0.3,887.61
,,,0.3,873.5
,,,0.3,450.28
,,,0.31,855.09
,,,0.31,990
,,,0.31,812.2
,,,0.31,469.27
,,,0.31,361.64
,,,0.31,604.98
,,,0.31,761.2
,,,0.31,1000.25
,,,0.31,740.03
,,,0.31,981.58
,,,0.31,1238.77
,,,0.31,1073.72
,,,0.31,983.27
,,,0.31,934.7
,,,0.31,1035.55
,,,0.31,828.06
,,,0.32,943.91
,,,0.32,780.05
,,,0.32,993.92
,,,0.32,1272.45
,,,0.32,1293.92
,,,0.32,1233.11
,,,0.32,1255.66
,,,0.32,1348.66
,,,0.32,1471.81
,,,0.32,989.34
,,,0.32,1201.02
,,,0.32,1705.08
,,,0.32,1560.03
,,,0.32,1522.2
,,,0.32,1300.72
,,,0.32,1447.22
,,,0.33,1546.31
,,,0.33,1828.27
,,,0.33,1495.44
,,,0.33,1039
,,,0.33,1167.41
,,,0.33,1930.52
,,,0.33,1303.86
,,,0.33,876.58
,,,0.33,664.14
,,,0.33,971.53
,,,0.33,1133.81
,,,0.33,1565.77
,,,0.33,1644.63
,,,0.33,1052.09
,,,0.33,1372.02
,,,0.34,1505.39
,,,0.34,1691
,,,0.34,1380.88
,,,0.34,1298.38
,,,0.34,1371.03
,,,0.34,1296.08
,,,0.34,1905.81
,,,0.34,1914.33
,,,0.34,1661.59
,,,0.34,1721.11
,,,0.34,2053.83
,,,0.34,1927.06
,,,0.34,1898.84
,,,0.34,2177.5
,,,0.34,1880.3
,,,0.34,1802.98
,,,0.35,1571.13
,,,0.35,1948.84
,,,0.35,1623.73
,,,0.35,2345.05
,,,0.35,2314.58
,,,0.35,1665.92
,,,0.35,1945.48
,,,0.35,2698.45
,,,0.35,2921.03
,,,0.35,2717.56
,,,0.35,2662.31
,,,0.35,2656.95
,,,0.35,2520.67
,,,0.35,2706
,,,0.35,2981.69
,,,0.35,2921.14
,,,0.36,3301.44
,,,0.36,3288.47
,,,0.36,3495.36
,,,0.36,2994.03
,,,0.36,2799.05
,,,0.36,2751.75
,,,0.36,2473.7
,,,0.36,2650.09
,,,0.36,2550.55
,,,0.36,2891.58
,,,0.36,2995.34
,,,0.36,3072.22
,,,0.36,2993.77
,,,0.36,2947.55
,,,0.36,3037.22
,,,0.36,2977.61
,,,0.37,2744.86
,,,0.37,2858.52
,,,0.37,3432.39
,,,0.37,3523.78
,,,0.37,3308.95
,,,0.37,3288.42
,,,0.37,3429.63
,,,0.37,3714.39
,,,0.37,3248.52
,,,0.37,3437.17
,,,0.37,3644.61
,,,0.37,3609.69
,,,0.37,3805.14
,,,0.37,3798.92
,,,0.37,3806.09
,,,0.37,3930.91
,,,0.38,4443.06
,,,0.38,4611.95
,,,0.38,4595.17
,,,0.38,4381.73
,,,0.38,4298.88
,,,0.38,4712.61
,,,0.38,5042.06
,,,0.38,5003.91
,,,0.38,5202.95
,,,0.38,5279.11
,,,0.38,5365.56
,,,0.38,5008.3
,,,0.38,5493.72
,,,0.38,5704.67
,,,0.38,5781.52
,,,0.38,5998.19
,,,0.39,5682.38
,,,0.39,6044.42
,,,0.39,6472.09
,,,0.39,6421.17
,,,0.39,6565.16
,,,0.39,6720.7
,,,0.39,6698.58
