Machine Name,Netzsch TG 209F1 Libra ,,P35,,,P40,,,P45,
,Nitrogen flow (at a rate of 50 mL.min−1) between 25 °C and 600 °C at a heating rate of 10 °C min−1,,Temperature / °C,Weight  / %,,Temperature / °C,Weight  / %,,Temperature / °C,Weight  / %
,,,25.80,100.13,,26.07,100.09,,24.09,100.09
,,,26.80,100.13,,27.07,100.12,,25.09,100.11
,,,27.80,100.13,,28.07,100.13,,26.09,100.12
,,,28.80,100.13,,29.07,100.13,,27.09,100.12
,,,29.80,100.13,,30.07,100.13,,28.09,100.13
,,,30.80,100.13,,31.07,100.13,,29.09,100.13
,,,31.80,100.13,,32.07,100.14,,30.09,100.13
,,,32.80,100.13,,33.07,100.14,,31.09,100.13
,,,33.80,100.13,,34.07,100.14,,32.09,100.12
,,,34.80,100.13,,35.07,100.14,,33.09,100.13
,,,35.80,100.13,,36.07,100.14,,34.09,100.13
,,,36.80,100.13,,37.07,100.14,,35.09,100.13
,,,37.80,100.13,,38.07,100.14,,36.09,100.13
,,,38.80,100.13,,39.07,100.14,,37.09,100.13
,,,39.80,100.12,,40.07,100.14,,38.09,100.12
,,,40.80,100.12,,41.07,100.14,,39.09,100.12
,,,41.80,100.11,,42.07,100.14,,40.09,100.12
,,,42.80,100.11,,43.07,100.14,,41.09,100.11
,,,43.80,100.11,,44.07,100.14,,42.09,100.11
,,,44.80,100.10,,45.07,100.13,,43.09,100.11
,,,45.80,100.10,,46.07,100.13,,44.09,100.10
,,,46.80,100.09,,47.07,100.13,,45.09,100.10
,,,47.80,100.09,,48.07,100.12,,46.09,100.10
,,,48.80,100.09,,49.07,100.12,,47.09,100.09
,,,49.80,100.08,,50.07,100.12,,48.09,100.09
,,,50.80,100.08,,51.07,100.11,,49.09,100.08
,,,51.80,100.07,,52.07,100.11,,50.09,100.08
,,,52.80,100.07,,53.07,100.11,,51.09,100.08
,,,53.80,100.07,,54.07,100.10,,52.09,100.07
,,,54.80,100.06,,55.07,100.10,,53.09,100.07
,,,55.80,100.06,,56.07,100.09,,54.09,100.06
,,,56.80,100.05,,57.07,100.09,,55.09,100.06
,,,57.80,100.05,,58.07,100.09,,56.09,100.05
,,,58.80,100.05,,59.07,100.08,,57.09,100.05
,,,59.80,100.04,,60.07,100.08,,58.09,100.04
,,,60.80,100.04,,61.07,100.07,,59.09,100.04
,,,61.80,100.03,,62.07,100.07,,60.09,100.03
,,,62.80,100.03,,63.07,100.06,,61.09,100.03
,,,63.80,100.02,,64.07,100.06,,62.09,100.02
,,,64.80,100.02,,65.07,100.05,,63.09,100.02
,,,65.80,100.01,,66.07,100.05,,64.09,100.01
,,,66.80,100.01,,67.07,100.05,,65.09,100.01
,,,67.80,100.00,,68.07,100.04,,66.09,100.00
,,,68.80,100.00,,69.07,100.04,,67.09,99.99
,,,69.80,99.99,,70.07,100.04,,68.09,99.99
,,,70.80,99.99,,71.07,100.04,,69.09,99.98
,,,71.80,99.98,,72.07,100.04,,70.09,99.98
,,,72.80,99.98,,73.07,100.03,,71.09,99.97
,,,73.80,99.97,,74.07,100.03,,72.09,99.96
,,,74.80,99.97,,75.07,100.03,,73.09,99.96
