Machine Name,Netzsch TG 209F1 Libra ,P35,,,P40,,,P45,
,Nitrogen flow (at a rate of 50 mL.min−1) between 25 °C and 600 °C at a heating rate of 10 °C min−1,Temperature / °C,Derivative Weight  / °C.%-1,,Temperature / °C,Derivative Weight  / °C.%-1,,Temperature / °C,Derivative Weight  / °C.%-1
,,25.80,0.03,,26.07,0.23,,24.09,0.29
,,26.80,0.02,,27.07,0.08,,25.09,0.15
,,27.80,0.01,,28.07,0.04,,26.09,0.06
,,28.80,-0.01,,29.07,0.03,,27.09,0.03
,,29.80,-0.02,,30.07,0.03,,28.09,0.02
,,30.80,-0.02,,31.07,0.01,,29.09,0.00
,,31.80,-0.03,,32.07,0.06,,30.09,0.00
,,32.80,0.04,,33.07,0.03,,31.09,-0.01
,,33.80,0.01,,34.07,0.02,,32.09,0.01
,,34.80,0.00,,35.07,0.01,,33.09,0.02
,,35.80,-0.01,,36.07,0.00,,34.09,0.01
,,36.80,-0.02,,37.07,0.00,,35.09,-0.01
,,37.80,-0.03,,38.07,-0.01,,36.09,-0.01
,,38.80,-0.04,,39.07,-0.01,,37.09,-0.02
,,39.80,-0.05,,40.07,-0.01,,38.09,-0.03
,,40.80,-0.04,,41.07,-0.01,,39.09,-0.03
,,41.80,-0.04,,42.07,-0.02,,40.09,-0.03
,,42.80,-0.04,,43.07,-0.02,,41.09,-0.03
,,43.80,-0.04,,44.07,-0.02,,42.09,-0.04
,,44.80,-0.04,,45.07,-0.02,,43.09,-0.04
,,45.80,-0.04,,46.07,-0.03,,44.09,-0.04
,,46.80,-0.04,,47.07,-0.03,,45.09,-0.04
,,47.80,-0.04,,48.07,-0.03,,46.09,-0.04
,,48.80,-0.04,,49.07,-0.04,,47.09,-0.04
,,49.80,-0.04,,50.07,-0.03,,48.09,-0.04
,,50.80,-0.04,,51.07,-0.03,,49.09,-0.04
,,51.80,-0.03,,52.07,-0.04,,50.09,-0.04
,,52.80,-0.03,,53.07,-0.03,,51.09,-0.04
,,53.80,-0.04,,54.07,-0.04,,52.09,-0.04
,,54.80,-0.04,,55.07,-0.04,,53.09,-0.04
,,55.80,-0.04,,56.07,-0.05,,54.09,-0.04
,,56.80,-0.04,,57.07,-0.05,,55.09,-0.05
,,57.80,-0.04,,58.07,-0.05,,56.09,-0.05
,,58.80,-0.04,,59.07,-0.05,,57.09,-0.05
,,59.80,-0.04,,60.07,-0.04,,58.09,-0.05
,,60.80,-0.05,,61.07,-0.05,,59.09,-0.05
,,61.80,-0.04,,62.07,-0.05,,60.09,-0.05
,,62.80,-0.05,,63.07,-0.05,,61.09,-0.05
,,63.80,-0.05,,64.07,-0.05,,62.09,-0.05
,,64.80,-0.04,,65.07,-0.05,,63.09,-0.05
,,65.80,-0.05,,66.07,-0.04,,64.09,-0.06
,,66.80,-0.05,,67.07,-0.02,,65.09,-0.06
