Machine Name,Lloyd LRX ,P35-1,,,P35-2,,,P35-3,,,P35-4,,,P40-1,,,P40-2,,,P40-3,,,P40-4,,,P45-1,,,P45-2,,,P45-3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,-0.9,0,,-7.1,-0.01,,-3.42,0,,-2.53,0,,-0.86,0,,-3.15,0.01,,-3.29,0,,-5.6,0,,-3.66,0,,-4.64,0,,-1.9,0
,Representative curve shown in the figure is the first set of data for each sample,-0.9,0,,-7.1,-0.01,,-3.42,0,,-2.53,0,,-0.86,0,,14.52,0.13,,-3.29,0,,-5.6,0,,-3.66,0,,-4.64,0,,-1.9,0
,,-0.9,0,,-7.1,-0.01,,-3.42,0,,-2.53,0,,-0.86,0,,32.29,0.19,,-3.29,0,,-5.6,0,,-3.66,0,,-4.64,0,,-1.9,0
,,0.36,0,,-7.1,-0.01,,-3.42,0,,-2.53,0,,-0.86,0,,50.05,0.23,,-3.29,0,,-5.6,0,,-3.66,0,,-4.64,0,,-1.9,0
,,2.94,0.03,,-7.08,-0.01,,-2.98,0.01,,-1.93,0.01,,-0.86,0,,67.81,0.26,,-3.29,0,,-5.6,0,,-3.66,0,,-4.64,0,,-1.9,0
,,6.23,0.04,,-4.87,0,,-0.17,0.02,,0.89,0.03,,-0.86,0,,85.57,0.28,,-3.29,0,,-5.6,0,,-3.66,0,,-4.64,0,,-1.9,0
,,9.62,0.06,,-2.44,0.01,,2.64,0.04,,3.78,0.06,,-0.86,0,,103.32,0.3,,-1.98,0.01,,-5.6,0,,-3.66,0,,-4.64,0,,-1.9,0
,,12.93,0.07,,0.01,0.02,,5.47,0.05,,6.65,0.07,,-0.74,0.01,,120.98,0.31,,0.1,0.03,,-4.88,0,,-3.66,0,,-4.64,0,,-1.9,0
,,16.22,0.07,,2.39,0.03,,8.29,0.06,,9.51,0.09,,1.04,0.04,,138.74,0.32,,2.28,0.05,,-3.06,0.01,,-3.24,0,,-4.59,0,,-1.9,0
,,19.64,0.08,,4.82,0.03,,11.08,0.07,,12.36,0.1,,2.76,0.06,,156.5,0.32,,4.44,0.07,,-1.29,0.01,,-1.65,0.01,,-3.13,0.01,,-1.1,0.01
,,22.92,0.09,,7.24,0.04,,13.85,0.08,,15.26,0.11,,4.52,0.08,,174.24,0.32,,6.62,0.09,,0.59,0.02,,-0.24,0.02,,-1.72,0.02,,0.32,0.03
,,26.23,0.09,,9.68,0.05,,16.63,0.09,,18.14,0.12,,6.35,0.09,,191.99,0.33,,8.77,0.1,,2.45,0.02,,1.28,0.05,,-0.18,0.04,,1.69,0.05
,,29.64,0.1,,12.08,0.05,,19.45,0.1,,21.02,0.13,,8.16,0.1,,209.73,0.33,,10.92,0.12,,4.24,0.03,,2.83,0.08,,1.28,0.05,,3.09,0.07
,,32.96,0.11,,14.47,0.06,,22.26,0.11,,23.85,0.14,,9.97,0.11,,227.48,0.34,,13.06,0.13,,6.12,0.04,,4.28,0.1,,2.82,0.07,,4.52,0.09
,,36.27,0.11,,16.91,0.06,,25.07,0.11,,26.71,0.15,,11.76,0.12,,245.22,0.34,,15.19,0.14,,7.99,0.06,,5.82,0.11,,4.32,0.08,,5.91,0.1
,,39.62,0.12,,19.36,0.06,,27.9,0.12,,29.58,0.16,,13.56,0.13,,262.97,0.34,,17.37,0.15,,9.8,0.08,,7.31,0.12,,5.78,0.1,,7.35,0.11
,,42.97,0.12,,21.79,0.07,,30.73,0.12,,32.43,0.16,,15.39,0.13,,280.71,0.34,,19.56,0.16,,11.67,0.1,,8.8,0.13,,7.33,0.11,,8.7,0.12
,,46.31,0.13,,24.22,0.07,,33.55,0.13,,35.33,0.17,,17.19,0.14,,298.46,0.34,,21.73,0.16,,13.54,0.11,,10.33,0.14,,8.81,0.12,,10.14,0.13
,,49.65,0.13,,26.66,0.07,,36.36,0.13,,38.16,0.18,,18.96,0.15,,316.2,0.34,,23.86,0.17,,15.36,0.12,,11.81,0.16,,10.31,0.13,,11.53,0.13
,,52.99,0.13,,29.07,0.08,,39.17,0.14,,41.04,0.18,,20.78,0.15,,333.94,0.34,,26.02,0.18,,17.18,0.13,,13.33,0.17,,11.87,0.14,,12.95,0.14
