Machine Name,Lloyd LRX ,,1st,,,2nd,,,3rd,,,4th,,,5th,,,6th,
,50 N load cell at RT with a crosshead speed of 20 mm min−1 with 1-minute rest time,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00
,,,0.00,0.00,,0.15,0.05,,0.00,0.04,,0.32,0.06,,0.00,0.04,,0.18,0.05
,,,0.00,0.00,,0.95,0.10,,0.00,0.04,,1.15,0.12,,0.12,0.05,,0.98,0.11
,,,0.00,0.00,,1.78,0.14,,0.00,0.04,,1.98,0.14,,0.91,0.11,,1.81,0.14
,,,0.00,0.00,,2.62,0.16,,0.00,0.04,,2.82,0.16,,1.75,0.14,,2.65,0.16
,,,0.02,0.00,,3.45,0.18,,0.00,0.04,,3.65,0.18,,2.59,0.16,,3.49,0.18
,,,0.73,0.04,,4.28,0.19,,0.19,0.05,,4.48,0.20,,3.42,0.18,,4.31,0.19
,,,1.57,0.07,,5.11,0.20,,1.00,0.11,,5.31,0.21,,4.24,0.19,,5.15,0.21
,,,2.40,0.09,,5.95,0.22,,1.83,0.14,,6.15,0.22,,5.08,0.21,,5.99,0.22
,,,3.23,0.11,,6.79,0.23,,2.67,0.16,,6.99,0.23,,5.92,0.22,,6.82,0.23
,,,4.06,0.12,,7.61,0.24,,3.50,0.18,,7.82,0.24,,6.75,0.23,,7.65,0.24
,,,4.90,0.14,,8.45,0.25,,4.33,0.19,,8.64,0.25,,7.58,0.24,,8.48,0.25
,,,5.74,0.15,,9.29,0.26,,5.16,0.21,,9.48,0.26,,8.42,0.25,,9.32,0.26
,,,6.56,0.16,,10.12,0.27,,6.00,0.22,,10.32,0.27,,9.25,0.26,,10.15,0.27
,,,7.40,0.17,,10.95,0.28,,6.84,0.23,,11.15,0.28,,10.08,0.27,,10.98,0.28
,,,8.24,0.18,,11.78,0.28,,7.66,0.24,,11.98,0.29,,10.91,0.28,,11.81,0.29
,,,9.07,0.19,,12.62,0.29,,8.50,0.25,,12.82,0.30,,11.75,0.29,,12.65,0.29
,,,9.90,0.20,,13.45,0.30,,9.34,0.26,,13.65,0.31,,12.59,0.29,,13.49,0.30
,,,10.73,0.20,,14.28,0.31,,10.17,0.27,,14.48,0.31,,13.42,0.30,,14.31,0.31
,,,11.57,0.21,,15.12,0.32,,11.00,0.28,,15.31,0.32,,14.24,0.31,,15.15,0.32
,,,12.40,0.22,,15.95,0.32,,11.83,0.29,,16.15,0.33,,15.08,0.32,,15.99,0.32
,,,13.23,0.23,,16.78,0.33,,12.67,0.30,,16.98,0.33,,15.92,0.32,,16.82,0.33
,,,14.06,0.23,,17.61,0.34,,13.50,0.30,,17.82,0.34,,16.75,0.33,,17.64,0.34
,,,14.90,0.24,,18.45,0.34,,14.33,0.31,,18.64,0.35,,17.58,0.34,,18.48,0.34
,,,15.74,0.25,,19.28,0.35,,15.16,0.32,,19.49,0.35,,18.42,0.34,,19.32,0.35
,,,16.56,0.25,,20.12,0.36,,16.00,0.33,,20.32,0.36,,19.25,0.35,,20.15,0.36
,,,17.40,0.26,,20.94,0.36,,16.84,0.33,,21.15,0.37,,20.08,0.36,,20.98,0.36
,,,18.24,0.27,,21.78,0.37,,17.66,0.34,,21.98,0.37,,20.91,0.36,,21.82,0.37
,,,19.07,0.27,,22.62,0.38,,18.50,0.35,,22.82,0.38,,21.75,0.37,,22.65,0.38
,,,19.90,0.28,,23.45,0.38,,19.34,0.35,,23.65,0.39,,22.58,0.38,,23.48,0.38
,,,20.73,0.29,,24.28,0.39,,20.17,0.36,,24.48,0.39,,23.42,0.38,,24.31,0.39
,,,21.57,0.29,,25.12,0.39,,20.99,0.37,,25.31,0.40,,24.24,0.39,,25.15,0.39
,,,22.40,0.30,,25.95,0.40,,21.83,0.37,,26.15,0.40,,25.09,0.39,,25.99,0.40
,,,23.23,0.30,,26.78,0.40,,22.67,0.38,,26.98,0.41,,25.92,0.40,,26.82,0.40
,,,24.07,0.31,,27.61,0.41,,23.50,0.38,,27.82,0.41,,26.75,0.40,,27.64,0.41
,,,24.90,0.31,,28.45,0.41,,24.33,0.39,,28.64,0.42,,27.58,0.41,,28.48,0.41
,,,25.74,0.32,,29.28,0.42,,25.17,0.40,,29.49,0.42,,28.42,0.41,,29.32,0.42
,,,26.56,0.32,,30.12,0.42,,26.00,0.40,,30.32,0.43,,29.25,0.42,,30.15,0.42
,,,27.40,0.33,,30.94,0.43,,26.84,0.41,,31.15,0.43,,30.08,0.42,,30.98,0.43
,,,28.24,0.33,,31.78,0.43,,27.66,0.41,,31.98,0.44,,30.91,0.43,,31.82,0.43
,,,29.07,0.34,,32.62,0.44,,28.50,0.42,,32.82,0.44,,31.75,0.43,,32.65,0.44
,,,29.90,0.34,,33.45,0.44,,29.34,0.42,,33.65,0.45,,32.58,0.44,,33.48,0.44
,,,30.73,0.35,,34.28,0.45,,30.17,0.43,,34.48,0.45,,33.42,0.44,,34.31,0.45
,,,31.57,0.35,,35.12,0.45,,30.99,0.43,,35.31,0.45,,34.24,0.45,,35.15,0.45
,,,32.40,0.36,,35.95,0.46,,31.83,0.44,,36.15,0.46,,35.09,0.45,,35.98,0.45
,,,33.23,0.36,,36.78,0.46,,32.67,0.44,,36.99,0.46,,35.92,0.46,,36.82,0.46
,,,34.07,0.36,,37.61,0.46,,33.50,0.44,,37.81,0.47,,36.75,0.46,,37.64,0.46
,,,34.90,0.37,,38.45,0.47,,34.33,0.45,,38.65,0.47,,37.58,0.46,,38.49,0.47
,,,35.74,0.37,,39.28,0.47,,35.17,0.45,,39.49,0.48,,38.42,0.47,,39.32,0.47
,,,36.56,0.38,,40.11,0.48,,36.00,0.46,,40.32,0.48,,39.25,0.47,,40.15,0.47
,,,37.40,0.38,,40.94,0.48,,36.83,0.46,,41.15,0.48,,40.08,0.48,,40.98,0.48
,,,38.23,0.38,,41.79,0.48,,37.66,0.47,,41.98,0.49,,40.91,0.48,,41.82,0.48
,,,39.07,0.39,,42.62,0.49,,38.50,0.47,,42.82,0.49,,41.75,0.48,,42.65,0.49
,,,39.89,0.39,,43.45,0.49,,39.33,0.47,,43.65,0.50,,42.59,0.49,,43.48,0.49
,,,40.74,0.40,,44.28,0.50,,40.17,0.48,,44.48,0.50,,43.41,0.49,,44.31,0.49
,,,41.57,0.40,,45.12,0.50,,40.99,0.48,,45.31,0.50,,44.25,0.50,,45.15,0.50
,,,42.40,0.40,,45.95,0.50,,41.84,0.49,,46.15,0.51,,45.09,0.50,,45.98,0.50
,,,43.23,0.41,,46.78,0.51,,42.67,0.49,,46.99,0.51,,45.92,0.50,,46.82,0.50
,,,44.07,0.41,,47.61,0.51,,43.50,0.49,,47.81,0.51,,46.75,0.51,,47.64,0.51
,,,44.90,0.42,,48.45,0.51,,44.33,0.50,,48.65,0.52,,47.58,0.51,,48.49,0.51
,,,45.73,0.42,,49.29,0.52,,45.17,0.50,,49.49,0.52,,48.42,0.51,,49.32,0.52
,,,46.56,0.42,,50.11,0.52,,46.00,0.51,,50.32,0.52,,49.25,0.52,,50.15,0.52
,,,47.40,0.43,,50.94,0.52,,46.83,0.51,,51.15,0.53,,50.08,0.52,,50.98,0.52
,,,48.23,0.43,,51.79,0.53,,47.66,0.51,,51.98,0.53,,50.91,0.52,,51.82,0.52
,,,49.07,0.43,,52.62,0.53,,48.50,0.52,,52.82,0.53,,51.75,0.53,,52.65,0.53
,,,49.89,0.44,,53.45,0.53,,49.33,0.52,,53.65,0.53,,52.59,0.53,,53.48,0.53
,,,50.74,0.44,,54.28,0.54,,50.17,0.52,,54.48,0.54,,53.41,0.53,,54.31,0.53
,,,51.57,0.44,,55.12,0.54,,50.99,0.52,,55.32,0.54,,54.25,0.54,,55.15,0.54
,,,52.40,0.45,,55.95,0.54,,51.84,0.53,,56.15,0.54,,55.09,0.54,,55.99,0.54
,,,53.23,0.45,,56.78,0.54,,52.67,0.53,,56.99,0.54,,55.92,0.54,,56.81,0.54
,,,54.07,0.45,,57.61,0.55,,53.50,0.53,,57.81,0.55,,56.75,0.54,,57.64,0.54
,,,54.90,0.45,,58.45,0.55,,54.33,0.54,,58.65,0.55,,57.58,0.55,,58.49,0.55
,,,55.73,0.46,,59.29,0.55,,55.17,0.54,,59.49,0.55,,58.42,0.55,,59.32,0.55
,,,56.56,0.46,,60.11,0.55,,56.00,0.54,,60.32,0.56,,59.25,0.55,,60.15,0.55
,,,57.40,0.46,,60.95,0.56,,56.83,0.54,,61.14,0.56,,60.08,0.56,,60.98,0.56
,,,58.24,0.47,,61.79,0.56,,57.66,0.55,,61.98,0.56,,60.91,0.56,,61.82,0.56
,,,59.06,0.47,,62.62,0.56,,58.50,0.55,,62.82,0.57,,61.75,0.56,,62.65,0.56
,,,59.89,0.47,,63.45,0.57,,59.34,0.55,,63.65,0.57,,62.59,0.56,,63.48,0.56
,,,60.74,0.47,,64.28,0.57,,60.16,0.56,,64.48,0.57,,63.41,0.57,,64.31,0.57
,,,61.57,0.48,,65.12,0.57,,61.00,0.56,,65.32,0.57,,64.25,0.57,,65.15,0.57
,,,62.40,0.48,,65.95,0.58,,61.84,0.56,,66.15,0.58,,65.09,0.57,,65.99,0.57
,,,63.23,0.48,,66.78,0.58,,62.67,0.57,,66.98,0.58,,65.92,0.58,,66.81,0.58
,,,64.07,0.49,,67.61,0.58,,63.50,0.57,,67.81,0.58,,66.75,0.58,,67.65,0.58
,,,64.90,0.49,,68.45,0.58,,64.33,0.57,,68.65,0.59,,67.58,0.58,,68.49,0.58
,,,65.73,0.49,,69.29,0.59,,65.17,0.57,,69.48,0.59,,68.42,0.58,,69.32,0.58
,,,66.56,0.49,,70.11,0.59,,66.00,0.58,,70.32,0.59,,69.25,0.59,,70.15,0.59
,,,67.40,0.50,,70.95,0.59,,66.83,0.58,,71.14,0.59,,70.08,0.59,,70.98,0.59
,,,68.24,0.50,,71.79,0.59,,67.66,0.58,,71.98,0.60,,70.92,0.59,,71.82,0.59
,,,69.06,0.50,,72.62,0.60,,68.50,0.58,,72.82,0.60,,71.75,0.59,,72.65,0.60
,,,69.90,0.50,,73.45,0.60,,69.34,0.59,,73.65,0.60,,72.59,0.60,,73.48,0.60
,,,70.74,0.50,,74.28,0.60,,70.16,0.59,,74.48,0.60,,73.41,0.60,,74.31,0.60
,,,71.57,0.51,,75.12,0.60,,71.00,0.59,,75.32,0.61,,74.25,0.60,,75.15,0.60
,,,72.40,0.51,,75.95,0.61,,71.84,0.60,,76.15,0.61,,75.09,0.60,,75.99,0.61
,,,73.23,0.51,,76.78,0.61,,72.67,0.60,,76.98,0.61,,75.92,0.61,,76.81,0.61
,,,74.07,0.51,,77.62,0.61,,73.50,0.60,,77.81,0.61,,76.74,0.61,,77.65,0.61
,,,74.90,0.52,,78.45,0.61,,74.33,0.60,,78.65,0.62,,77.58,0.61,,78.49,0.61
,,,75.73,0.52,,79.29,0.61,,75.17,0.61,,79.48,0.62,,78.42,0.61,,79.32,0.61
,,,76.56,0.52,,80.11,0.62,,76.00,0.61,,80.32,0.62,,79.25,0.62,,80.15,0.62
,,,77.40,0.52,,80.95,0.62,,76.83,0.61,,81.14,0.62,,80.08,0.62,,80.98,0.62
,,,78.24,0.53,,81.79,0.62,,77.66,0.61,,81.99,0.62,,80.92,0.62,,81.82,0.62
,,,79.06,0.53,,82.62,0.62,,78.50,0.61,,82.82,0.63,,81.75,0.62,,82.65,0.62
,,,79.90,0.53,,83.44,0.63,,79.34,0.62,,83.65,0.63,,82.58,0.63,,83.48,0.63
,,,80.74,0.53,,84.28,0.63,,80.16,0.62,,84.48,0.63,,83.41,0.63,,84.32,0.63
,,,81.57,0.53,,85.12,0.63,,81.00,0.62,,85.32,0.63,,84.25,0.63,,85.15,0.63
,,,82.40,0.53,,85.95,0.63,,81.84,0.62,,86.15,0.64,,85.08,0.63,,85.99,0.63
,,,83.23,0.54,,86.78,0.63,,82.67,0.63,,86.98,0.64,,85.92,0.64,,86.81,0.63
,,,84.07,0.54,,87.62,0.64,,83.50,0.63,,87.81,0.64,,86.74,0.64,,87.65,0.64
,,,84.90,0.54,,88.45,0.64,,84.33,0.63,,88.65,0.64,,87.59,0.64,,88.49,0.64
,,,85.73,0.54,,89.28,0.64,,85.17,0.63,,89.49,0.65,,88.42,0.64,,89.32,0.64
,,,86.57,0.54,,90.11,0.64,,86.00,0.64,,90.31,0.65,,89.25,0.64,,90.14,0.64
,,,87.40,0.55,,90.95,0.64,,86.83,0.64,,91.14,0.65,,90.08,0.65,,90.98,0.65
,,,88.24,0.55,,91.78,0.65,,87.67,0.64,,91.99,0.65,,90.92,0.65,,91.82,0.65
,,,89.06,0.55,,92.62,0.65,,88.50,0.64,,92.82,0.65,,91.75,0.65,,92.65,0.65
,,,89.90,0.55,,93.44,0.65,,89.34,0.64,,93.65,0.66,,92.58,0.65,,93.48,0.65
,,,90.74,0.55,,94.29,0.65,,90.16,0.65,,94.48,0.66,,93.41,0.65,,94.32,0.65
,,,91.57,0.56,,95.12,0.65,,91.00,0.65,,95.32,0.66,,94.25,0.66,,95.15,0.66
,,,92.40,0.56,,95.95,0.66,,91.84,0.65,,96.15,0.66,,95.08,0.66,,95.98,0.66
,,,93.23,0.56,,96.78,0.66,,92.67,0.65,,96.98,0.66,,95.92,0.66,,96.81,0.66
,,,94.07,0.56,,97.62,0.66,,93.49,0.65,,97.81,0.67,,96.74,0.66,,97.65,0.66
,,,94.90,0.56,,98.45,0.66,,94.33,0.66,,98.65,0.67,,97.59,0.66,,98.48,0.66
,,,95.73,0.56,,99.28,0.66,,95.17,0.66,,99.49,0.67,,98.42,0.67,,99.32,0.67
,,,96.57,0.57,,99.89,0.65,,96.00,0.66,,99.85,0.66,,99.25,0.67,,99.85,0.65
,,,97.40,0.57,,100.00,0.61,,96.83,0.66,,100.00,0.61,,99.87,0.65,,100.00,0.61
,,,98.23,0.57,,99.92,0.57,,97.67,0.66,,100.00,0.59,,100.00,0.61,,99.97,0.58
,,,99.06,0.57,,98.56,0.51,,98.50,0.67,,99.01,0.53,,99.84,0.57,,98.68,0.52
,,,99.77,0.56,,97.08,0.48,,99.33,0.67,,97.53,0.49,,98.41,0.51,,97.20,0.48
,,,99.85,0.56,,95.62,0.45,,99.87,0.65,,96.04,0.46,,96.93,0.48,,95.73,0.45
,,,100.00,0.52,,94.14,0.43,,100.00,0.61,,94.57,0.43,,95.47,0.45,,94.25,0.43
,,,100.00,0.50,,92.68,0.40,,100.00,0.58,,93.12,0.41,,93.99,0.43,,92.80,0.41
,,,99.34,0.46,,91.24,0.39,,98.86,0.52,,91.68,0.39,,92.53,0.41,,91.35,0.39
,,,97.86,0.42,,89.81,0.37,,97.38,0.48,,90.23,0.38,,91.09,0.39,,89.93,0.37
,,,96.36,0.39,,88.37,0.35,,95.90,0.45,,88.80,0.36,,89.67,0.37,,88.49,0.35
,,,94.90,0.37,,86.96,0.33,,94.42,0.43,,87.38,0.34,,88.24,0.35,,87.08,0.34
,,,93.45,0.35,,85.56,0.32,,92.97,0.41,,85.99,0.33,,86.82,0.34,,85.67,0.32
,,,91.99,0.33,,84.18,0.31,,91.53,0.39,,84.58,0.31,,85.41,0.32,,84.28,0.31
,,,90.54,0.31,,82.78,0.29,,90.09,0.37,,83.19,0.30,,84.04,0.31,,82.89,0.29
,,,89.12,0.30,,81.40,0.28,,88.66,0.35,,81.81,0.28,,82.64,0.29,,81.51,0.28
,,,87.71,0.28,,80.04,0.27,,87.24,0.34,,80.46,0.27,,81.26,0.28,,80.15,0.27
,,,86.29,0.27,,78.70,0.26,,85.85,0.32,,79.09,0.26,,79.90,0.27,,78.80,0.26
,,,84.88,0.26,,77.34,0.24,,84.44,0.31,,77.74,0.25,,78.56,0.26,,77.45,0.25
,,,83.50,0.24,,76.01,0.23,,83.05,0.30,,76.41,0.24,,77.21,0.24,,76.12,0.23
,,,82.13,0.23,,74.69,0.22,,81.68,0.28,,75.09,0.22,,75.87,0.23,,74.80,0.22
,,,80.75,0.22,,73.39,0.21,,80.32,0.27,,73.77,0.21,,74.55,0.22,,73.49,0.21
