Machine Name,Lloyd LRX ,P40-HDO Undamaged,1,,,2,,,3,,,P40-HDO 3 hr Healing,1,,,2,,,3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,,-0.47,0,,-0.54,0,,-0.45,-0.01,,,0,-0.02,,-0.55,0,,-0.27,-0.01
,Representative curve shown in the figure is the first set of data for each sampleRepresentative curve shown in the figure is the first set of data for each sample,,-0.47,0,,-0.54,0,,-1.12,-0.01,,,-0.81,-0.02,,-0.55,0,,-0.66,-0.01
,,,-0.47,0,,-0.54,0,,-1.12,-0.01,,,-0.81,-0.02,,-0.55,0,,-0.66,-0.01
,,,-0.47,0,,-0.54,0,,-1.12,-0.01,,,-0.81,-0.02,,-0.54,0,,-0.66,-0.01
,,,-0.47,0,,-0.54,0,,-1.12,-0.01,,,-0.81,-0.02,,-0.54,0,,-0.66,-0.01
,,,-0.47,0,,-0.54,0,,-1.12,-0.01,,,-0.81,-0.02,,-0.54,0,,-0.66,-0.01
,,,-0.47,0,,-0.52,0,,-1.12,-0.01,,,-0.8,-0.02,,-0.54,0,,-0.66,-0.01
,,,-0.46,0,,1.07,0.06,,-1.12,-0.01,,,-0.8,-0.02,,-0.54,0,,-0.66,-0.01
,,,-0.46,0,,2.82,0.09,,-1.12,-0.01,,,-0.8,-0.02,,-0.54,0,,-0.66,-0.01
,,,-0.46,0,,4.6,0.12,,-1.12,-0.01,,,-0.8,-0.02,,-0.54,0,,-0.66,-0.01
,,,-0.37,0,,6.38,0.14,,-1.12,-0.01,,,-0.8,-0.02,,-0.54,0,,-0.66,-0.01
,,,0.74,0.04,,8.2,0.16,,-1.12,-0.01,,,-0.8,-0.02,,-0.54,0,,-0.66,-0.01
,,,1.88,0.06,,10.01,0.18,,-1.12,-0.01,,,-0.8,-0.02,,-0.54,0,,-0.66,-0.01
,,,3.07,0.08,,11.76,0.2,,-1.12,-0.01,,,-0.8,-0.02,,-0.54,0,,-0.66,-0.01
,,,4.24,0.09,,13.59,0.22,,-1.12,-0.01,,,-0.8,-0.02,,-0.54,0,,-0.66,-0.01
,,,5.47,0.11,,15.43,0.23,,-1.12,-0.01,,,-0.8,-0.02,,-0.54,0,,-0.66,-0.01
,,,6.65,0.12,,17.22,0.25,,-0.96,-0.01,,,-0.8,-0.02,,-0.35,0,,-0.56,-0.01
,,,7.87,0.13,,19.03,0.26,,-0.34,0,,,-0.8,-0.02,,0.39,0.03,,-0.2,0
,,,9.02,0.14,,20.83,0.27,,0.32,0.02,,,-0.8,-0.02,,1.18,0.05,,0.19,0.01
,,,10.23,0.15,,22.65,0.28,,0.94,0.03,,,-0.8,-0.02,,1.93,0.06,,0.55,0.02
,,,11.39,0.16,,24.44,0.29,,1.64,0.03,,,-0.7,-0.02,,2.67,0.07,,0.97,0.02
,,,12.61,0.17,,26.24,0.31,,2.75,0.06,,,-0.19,0,,3.5,0.08,,1.62,0.04
,,,13.78,0.18,,28.08,0.32,,3.88,0.08,,,0.42,0.03,,4.25,0.09,,2.29,0.05
,,,15,0.19,,29.88,0.33,,5,0.1,,,1,0.04,,5,0.1,,2.95,0.06
,,,16.17,0.19,,31.71,0.34,,6.16,0.11,,,1.58,0.05,,5.83,0.11,,3.63,0.07
,,,17.38,0.2,,33.52,0.35,,7.28,0.13,,,2.17,0.07,,6.59,0.11,,4.29,0.08
,,,18.56,0.21,,35.33,0.36,,8.41,0.14,,,2.78,0.08,,7.33,0.12,,4.96,0.09
