HSP,Healing_Time,Replica_Set,Max_Strain,Max_Stress,HE_Elongation_Mean,HE_UTS_Mean,Peak_logM,Molecular_Weight,Contact_Angle_Mean,Contact_Angle_Std
0.35,0.0,1-1,3322.06,0.27,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,1-10,3292.0,0.27,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,1-2,3318.72,0.27,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,1-3,3315.38,0.27,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,1-4,3312.04,0.27,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,1-5,3308.7,0.27,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,1-6,3305.36,0.27,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,1-7,3302.02,0.27,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,1-8,3298.68,0.27,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,1-9,3295.34,0.27,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,2-1,2405.5,0.15,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,2-10,2383.65,0.15,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,2-2,2403.07,0.15,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,2-3,2400.64,0.15,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,2-4,2398.22,0.15,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,2-5,2395.79,0.15,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,2-6,2393.36,0.15,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,2-7,2390.94,0.15,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,2-8,2388.51,0.15,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,2-9,2386.08,0.15,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,3-1,2789.2,0.26,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,3-10,2763.89,0.26,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,3-2,2786.38,0.26,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,3-3,2783.56,0.26,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,3-4,2780.74,0.26,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,3-5,2777.92,0.26,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,3-6,2775.12,0.26,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,3-7,2772.31,0.26,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,3-8,2769.5,0.26,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,3-9,2766.7,0.26,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,4-1,2849.89,0.41,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,4-10,2824.07,0.41,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,4-2,2847.02,0.41,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,4-3,2844.15,0.41,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,4-4,2841.28,0.41,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,4-5,2838.41,0.41,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,4-6,2835.54,0.41,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,4-7,2832.67,0.41,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,4-8,2829.8,0.41,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,0.0,4-9,2826.94,0.41,100.0,100.0,4.45,28183.82931264455,70.624,39.14259930050635
0.35,1.0,1-1,1063.07,0.24,34.2,92.9,4.45,28183.82931264455,70.624,39.14259930050635
0.35,1.0,1-10,1053.34,0.24,34.2,92.9,4.45,28183.82931264455,70.624,39.14259930050635
0.35,1.0,1-2,1061.98,0.24,34.2,92.9,4.45,28183.82931264455,70.624,39.14259930050635
0.35,1.0,1-3,1060.9,0.24,34.2,92.9,4.45,28183.82931264455,70.624,39.14259930050635
0.35,1.0,1-4,1059.82,0.24,34.2,92.9,4.45,28183.82931264455,70.624,39.14259930050635
0.35,1.0,1-5,1058.74,0.24,34.2,92.9,4.45,28183.82931264455,70.624,39.14259930050635
0.35,1.0,1-6,1057.66,0.24,34.2,92.9,4.45,28183.82931264455,70.624,39.14259930050635
0.35,1.0,1-7,1056.58,0.24,34.2,92.9,4.45,28183.82931264455,70.624,39.14259930050635
0.35,1.0,1-8,1055.5,0.24,34.2,92.9,4.45,28183.82931264455,70.624,39.14259930050635
